precinct,party,candidate,votes
sabine:1,,Carrie Evelyn Menger,0
sabine:1,,Rejected write-ins,0
sabine:1,,Unassigned write-ins,0
sabine:1,DEM,Jay Kleberg,76
sabine:1,GRN,"Alfred Molison, Jr.",7
sabine:1,REP,Dawn Buckingham,965
sabine:2,,Carrie Evelyn Menger,0
sabine:2,,Rejected write-ins,0
sabine:2,,Unassigned write-ins,0
sabine:2,DEM,Jay Kleberg,72
sabine:2,GRN,"Alfred Molison, Jr.",5
sabine:2,REP,Dawn Buckingham,875
sabine:3,,Carrie Evelyn Menger,0
sabine:3,,Rejected write-ins,0
sabine:3,,Unassigned write-ins,0
sabine:3,DEM,Jay Kleberg,63
sabine:3,GRN,"Alfred Molison, Jr.",2
sabine:3,REP,Dawn Buckingham,160
sabine:4,,Carrie Evelyn Menger,0
sabine:4,,Rejected write-ins,0
sabine:4,,Unassigned write-ins,0
sabine:4,DEM,Jay Kleberg,7
sabine:4,GRN,"Alfred Molison, Jr.",0
sabine:4,REP,Dawn Buckingham,155
sabine:5,,Carrie Evelyn Menger,0
sabine:5,,Rejected write-ins,0
sabine:5,,Unassigned write-ins,0
sabine:5,DEM,Jay Kleberg,43
sabine:5,GRN,"Alfred Molison, Jr.",2
sabine:5,REP,Dawn Buckingham,538
sabine:6,,Carrie Evelyn Menger,0
sabine:6,,Rejected write-ins,0
sabine:6,,Unassigned write-ins,0
sabine:6,DEM,Jay Kleberg,105
sabine:6,GRN,"Alfred Molison, Jr.",7
sabine:6,REP,Dawn Buckingham,837
sabine:7,,Carrie Evelyn Menger,0
sabine:7,,Rejected write-ins,0
sabine:7,,Unassigned write-ins,0
sabine:7,DEM,Jay Kleberg,33
sabine:7,GRN,"Alfred Molison, Jr.",3
sabine:7,REP,Dawn Buckingham,36
sabine:8,,Carrie Evelyn Menger,0
sabine:8,,Rejected write-ins,0
sabine:8,,Unassigned write-ins,0
sabine:8,DEM,Jay Kleberg,22
sabine:8,GRN,"Alfred Molison, Jr.",0
sabine:8,REP,Dawn Buckingham,148
