precinct,party,candidate,votes
andrews:1,DEM,Mike Collier,113
andrews:1,LIB,Shanna Steele,16
andrews:1,REP,Dan Patrick,730
andrews:2,DEM,Mike Collier,135
andrews:2,LIB,Shanna Steele,37
andrews:2,REP,Dan Patrick,1098
andrews:3,DEM,Mike Collier,121
andrews:3,LIB,Shanna Steele,26
andrews:3,REP,Dan Patrick,795
andrews:4,DEM,Mike Collier,113
andrews:4,LIB,Shanna Steele,18
andrews:4,REP,Dan Patrick,575
armstrong:101,DEM,Mike Collier,15
armstrong:101,LIB,Shanna Steele,5
armstrong:101,REP,Dan Patrick,209
armstrong:201,DEM,Mike Collier,10
armstrong:201,LIB,Shanna Steele,3
armstrong:201,REP,Dan Patrick,114
armstrong:202,DEM,Mike Collier,10
armstrong:202,LIB,Shanna Steele,0
armstrong:202,REP,Dan Patrick,44
armstrong:301,DEM,Mike Collier,14
armstrong:301,LIB,Shanna Steele,4
armstrong:301,REP,Dan Patrick,168
armstrong:303,DEM,Mike Collier,4
armstrong:303,LIB,Shanna Steele,0
armstrong:303,REP,Dan Patrick,33
armstrong:401,DEM,Mike Collier,1
armstrong:401,LIB,Shanna Steele,5
armstrong:401,REP,Dan Patrick,125
armstrong:402,DEM,Mike Collier,8
armstrong:402,LIB,Shanna Steele,2
armstrong:402,REP,Dan Patrick,98
armstrong:404,DEM,Mike Collier,0
armstrong:404,LIB,Shanna Steele,0
armstrong:404,REP,Dan Patrick,21
briscoe:1,DEM,Mike Collier,6
briscoe:1,LIB,Shanna Steele,2
briscoe:1,REP,Dan Patrick,72
briscoe:2,DEM,Mike Collier,18
briscoe:2,LIB,Shanna Steele,0
briscoe:2,REP,Dan Patrick,113
briscoe:3,DEM,Mike Collier,15
briscoe:3,LIB,Shanna Steele,4
briscoe:3,REP,Dan Patrick,143
briscoe:4,DEM,Mike Collier,21
briscoe:4,LIB,Shanna Steele,4
briscoe:4,REP,Dan Patrick,159
briscoe:6,DEM,Mike Collier,1
briscoe:6,LIB,Shanna Steele,1
briscoe:6,REP,Dan Patrick,34
cochran:101,DEM,MIKE COLLIER,20
cochran:101,LIB,SHANNA STEELE,7
cochran:101,REP,DAN PATRICK,134
cochran:202,DEM,MIKE COLLIER,23
cochran:202,LIB,SHANNA STEELE,4
cochran:202,REP,DAN PATRICK,174
cochran:303,DEM,MIKE COLLIER,2
cochran:303,LIB,SHANNA STEELE,0
cochran:303,REP,DAN PATRICK,38
cochran:306,DEM,MIKE COLLIER,18
cochran:306,LIB,SHANNA STEELE,6
cochran:306,REP,DAN PATRICK,104
cochran:404,DEM,MIKE COLLIER,28
cochran:404,LIB,SHANNA STEELE,2
cochran:404,REP,DAN PATRICK,46
crane:1,DEM,Mike Collier,40
crane:1,LIB,Shanna Steele,8
crane:1,REP,Dan Patrick,340
crane:2,DEM,Mike Collier,43
crane:2,LIB,Shanna Steele,9
crane:2,REP,Dan Patrick,257
crane:3,DEM,Mike Collier,40
crane:3,LIB,Shanna Steele,7
crane:3,REP,Dan Patrick,139
crane:4,DEM,Mike Collier,20
crane:4,LIB,Shanna Steele,6
crane:4,REP,Dan Patrick,192
dallam:1,DEM,Mike Collier,10
dallam:1,LIB,Shanna Steele,4
dallam:1,REP,Dan Patrick,161
dallam:2,DEM,Mike Collier,2
dallam:2,LIB,Shanna Steele,0
dallam:2,REP,Dan Patrick,43
dallam:3,DEM,Mike Collier,0
dallam:3,LIB,Shanna Steele,0
dallam:3,REP,Dan Patrick,18
dallam:4,DEM,Mike Collier,0
dallam:4,LIB,Shanna Steele,0
dallam:4,REP,Dan Patrick,20
dallam:5,DEM,Mike Collier,1
dallam:5,LIB,Shanna Steele,0
dallam:5,REP,Dan Patrick,16
dallam:6,DEM,Mike Collier,11
dallam:6,LIB,Shanna Steele,3
dallam:6,REP,Dan Patrick,107
dallam:7,DEM,Mike Collier,25
dallam:7,LIB,Shanna Steele,3
dallam:7,REP,Dan Patrick,180
dallam:8,DEM,Mike Collier,24
dallam:8,LIB,Shanna Steele,8
dallam:8,REP,Dan Patrick,218
dallam:9,DEM,Mike Collier,20
dallam:9,LIB,Shanna Steele,3
dallam:9,REP,Dan Patrick,162
ector:101,DEM,Mike Collier,161
ector:101,LIB,Shanna Steele,24
ector:101,REP,Dan Patrick,682
ector:102,DEM,Mike Collier,132
ector:102,LIB,Shanna Steele,14
ector:102,REP,Dan Patrick,369
ector:103,DEM,Mike Collier,80
ector:103,LIB,Shanna Steele,7
ector:103,REP,Dan Patrick,343
ector:104,DEM,Mike Collier,132
ector:104,LIB,Shanna Steele,10
ector:104,REP,Dan Patrick,528
ector:108,DEM,Mike Collier,104
ector:108,LIB,Shanna Steele,15
ector:108,REP,Dan Patrick,729
ector:109,DEM,Mike Collier,3
ector:109,LIB,Shanna Steele,0
ector:109,REP,Dan Patrick,46
ector:110,DEM,Mike Collier,260
ector:110,LIB,Shanna Steele,31
ector:110,REP,Dan Patrick,1045
ector:111,DEM,Mike Collier,181
ector:111,LIB,Shanna Steele,17
ector:111,REP,Dan Patrick,472
ector:201,DEM,Mike Collier,254
ector:201,LIB,Shanna Steele,33
ector:201,REP,Dan Patrick,1176
ector:202,DEM,Mike Collier,232
ector:202,LIB,Shanna Steele,21
ector:202,REP,Dan Patrick,966
ector:203,DEM,Mike Collier,325
ector:203,LIB,Shanna Steele,35
ector:203,REP,Dan Patrick,1521
ector:204,DEM,Mike Collier,260
ector:204,LIB,Shanna Steele,44
ector:204,REP,Dan Patrick,1140
ector:205,DEM,Mike Collier,176
ector:205,LIB,Shanna Steele,25
ector:205,REP,Dan Patrick,640
ector:206,DEM,Mike Collier,93
ector:206,LIB,Shanna Steele,12
ector:206,REP,Dan Patrick,430
ector:207,DEM,Mike Collier,76
ector:207,LIB,Shanna Steele,28
ector:207,REP,Dan Patrick,892
ector:208,DEM,Mike Collier,279
ector:208,LIB,Shanna Steele,22
ector:208,REP,Dan Patrick,1057
ector:209,DEM,Mike Collier,128
ector:209,LIB,Shanna Steele,9
ector:209,REP,Dan Patrick,559
ector:301,DEM,Mike Collier,257
ector:301,LIB,Shanna Steele,20
ector:301,REP,Dan Patrick,517
ector:302,DEM,Mike Collier,113
ector:302,LIB,Shanna Steele,16
ector:302,REP,Dan Patrick,226
ector:303,DEM,Mike Collier,148
ector:303,LIB,Shanna Steele,20
ector:303,REP,Dan Patrick,355
ector:304,DEM,Mike Collier,34
ector:304,LIB,Shanna Steele,5
ector:304,REP,Dan Patrick,78
ector:305,DEM,Mike Collier,46
ector:305,LIB,Shanna Steele,1
ector:305,REP,Dan Patrick,73
ector:306,DEM,Mike Collier,93
ector:306,LIB,Shanna Steele,2
ector:306,REP,Dan Patrick,164
ector:307,DEM,Mike Collier,207
ector:307,LIB,Shanna Steele,17
ector:307,REP,Dan Patrick,386
ector:308,DEM,Mike Collier,70
ector:308,LIB,Shanna Steele,6
ector:308,REP,Dan Patrick,246
ector:309,DEM,Mike Collier,103
ector:309,LIB,Shanna Steele,14
ector:309,REP,Dan Patrick,302
ector:310,DEM,Mike Collier,109
ector:310,LIB,Shanna Steele,12
ector:310,REP,Dan Patrick,276
ector:311,DEM,Mike Collier,105
ector:311,LIB,Shanna Steele,6
ector:311,REP,Dan Patrick,240
ector:312,DEM,Mike Collier,124
