precinct,party,candidate,votes
bailey:1,GRN,David B. Collins,1
bailey:1,,Ricardo Turullois Bonilla,0
bailey:1,DEM,"Mary ""Mj"" Hegar",109
bailey:1,LIB,Kerry Douglas Mckennon,12
bailey:1,REP,John Cornyn,428
bailey:2,GRN,David B. Collins,6
bailey:2,,Ricardo Turullois Bonilla,0
bailey:2,DEM,"Mary ""Mj"" Hegar",99
bailey:2,LIB,Kerry Douglas Mckennon,6
bailey:2,REP,John Cornyn,592
bailey:3,GRN,David B. Collins,3
bailey:3,,Ricardo Turullois Bonilla,0
bailey:3,DEM,"Mary ""Mj"" Hegar",96
bailey:3,LIB,Kerry Douglas Mckennon,7
bailey:3,REP,John Cornyn,252
bailey:4,GRN,David B. Collins,1
bailey:4,,Ricardo Turullois Bonilla,0
bailey:4,DEM,"Mary ""Mj"" Hegar",79
bailey:4,LIB,Kerry Douglas Mckennon,3
bailey:4,REP,John Cornyn,128
borden:1A,DEM,"Mary ""MJ"" Hegar",6
borden:1A,GRN,David B. Collins,0
borden:1A,LIB,Kerry Douglas McKennon,0
borden:1A,REP,John Cornyn,52
borden:1B,DEM,"Mary ""MJ"" Hegar",0
borden:1B,GRN,David B. Collins,0
borden:1B,LIB,Kerry Douglas McKennon,0
borden:1B,REP,John Cornyn,50
borden:2A,DEM,"Mary ""MJ"" Hegar",6
borden:2A,GRN,David B. Collins,1
borden:2A,LIB,Kerry Douglas McKennon,0
borden:2A,REP,John Cornyn,80
borden:2B,DEM,"Mary ""MJ"" Hegar",1
borden:2B,GRN,David B. Collins,0
borden:2B,LIB,Kerry Douglas McKennon,0
borden:2B,REP,John Cornyn,37
borden:3A,DEM,"Mary ""MJ"" Hegar",1
borden:3A,GRN,David B. Collins,1
borden:3A,LIB,Kerry Douglas McKennon,0
borden:3A,REP,John Cornyn,24
borden:3B,DEM,"Mary ""MJ"" Hegar",0
borden:3B,GRN,David B. Collins,0
borden:3B,LIB,Kerry Douglas McKennon,0
borden:3B,REP,John Cornyn,36
borden:4,DEM,"Mary ""MJ"" Hegar",4
borden:4,GRN,David B. Collins,0
borden:4,LIB,Kerry Douglas McKennon,1
borden:4,REP,John Cornyn,111
carson:101,DEM,"DEM Mary ""MJ"" Hegar",31
carson:101,GRN,GRN David B. Collins,1
carson:101,LIB,LIB Kerry Douglas McKennon,11
carson:101,REP,REP John Cornyn,323
carson:102,DEM,"DEM Mary ""MJ"" Hegar",1
carson:102,GRN,GRN David B. Collins,0
carson:102,LIB,LIB Kerry Douglas McKennon,1
carson:102,REP,REP John Cornyn,57
carson:103,DEM,"DEM Mary ""MJ"" Hegar",38
carson:103,GRN,GRN David B. Collins,1
carson:103,LIB,LIB Kerry Douglas McKennon,7
carson:103,REP,REP John Cornyn,257
carson:201,DEM,"DEM Mary ""MJ"" Hegar",72
carson:201,GRN,GRN David B. Collins,2
carson:201,LIB,LIB Kerry Douglas McKennon,21
carson:201,REP,REP John Cornyn,780
carson:301,DEM,"DEM Mary ""MJ"" Hegar",50
carson:301,GRN,GRN David B. Collins,1
carson:301,LIB,LIB Kerry Douglas McKennon,7
carson:301,REP,REP John Cornyn,438
carson:302,DEM,"DEM Mary ""MJ"" Hegar",17
carson:302,GRN,GRN David B. Collins,0
carson:302,LIB,LIB Kerry Douglas McKennon,3
carson:302,REP,REP John Cornyn,230
carson:401,DEM,"DEM Mary ""MJ"" Hegar",63
carson:401,GRN,GRN David B. Collins,0
carson:401,LIB,LIB Kerry Douglas McKennon,9
carson:401,REP,REP John Cornyn,479
carson:402,DEM,"DEM Mary ""MJ"" Hegar",14
carson:402,GRN,GRN David B. Collins,0
carson:402,LIB,LIB Kerry Douglas McKennon,4
carson:402,REP,REP John Cornyn,192
castro:101,,Over Votes,0
castro:101,,Under Votes,11
castro:101,DEM,"Mary ""MJ"" Hegar",117
castro:101,GRN,David B. Collins,2
castro:101,LIB,Kerry Douglas McKennon,4
castro:101,REP,John Cornyn,175
castro:105,,Over Votes,0
castro:105,,Under Votes,0
castro:105,DEM,"Mary ""MJ"" Hegar",3
castro:105,GRN,David B. Collins,0
castro:105,LIB,Kerry Douglas McKennon,0
castro:105,REP,John Cornyn,28
castro:201,,Over Votes,0
castro:201,,Under Votes,25
castro:201,DEM,"Mary ""MJ"" Hegar",96
castro:201,GRN,David B. Collins,2
castro:201,LIB,Kerry Douglas McKennon,3
castro:201,REP,John Cornyn,169
castro:206,,Over Votes,0
castro:206,,Under Votes,2
castro:206,DEM,"Mary ""MJ"" Hegar",11
castro:206,GRN,David B. Collins,0
castro:206,LIB,Kerry Douglas McKennon,0
castro:206,REP,John Cornyn,87
castro:301,,Over Votes,0
castro:301,,Under Votes,9
castro:301,DEM,"Mary ""MJ"" Hegar",108
castro:301,GRN,David B. Collins,3
castro:301,LIB,Kerry Douglas McKennon,7
castro:301,REP,John Cornyn,430
castro:307,,Over Votes,0
castro:307,,Under Votes,2
castro:307,DEM,"Mary ""MJ"" Hegar",9
castro:307,GRN,David B. Collins,2
castro:307,LIB,Kerry Douglas McKennon,1
castro:307,REP,John Cornyn,104
castro:401,,Over Votes,0
castro:401,,Under Votes,3
castro:401,DEM,"Mary ""MJ"" Hegar",66
castro:401,GRN,David B. Collins,4
castro:401,LIB,Kerry Douglas McKennon,5
castro:401,REP,John Cornyn,136
castro:408,,Over Votes,0
castro:408,,Under Votes,4
castro:408,DEM,"Mary ""MJ"" Hegar",22
castro:408,GRN,David B. Collins,0
castro:408,LIB,Kerry Douglas McKennon,4
castro:408,REP,John Cornyn,443
coke:1,DEM,"Mary ""MJ"" Hegar",36
coke:1,GRN,David B. Collins,1
coke:1,LIB,Kerry Douglas McKennon,10
coke:1,REP,John Cornyn,392
coke:2,DEM,"Mary ""MJ"" Hegar",37
coke:2,GRN,David B. Collins,1
coke:2,LIB,Kerry Douglas McKennon,3
coke:2,REP,John Cornyn,451
coke:3,DEM,"Mary ""MJ"" Hegar",54
coke:3,GRN,David B. Collins,0
coke:3,LIB,Kerry Douglas McKennon,6
coke:3,REP,John Cornyn,389
coke:4,DEM,"Mary ""MJ"" Hegar",44
coke:4,GRN,David B. Collins,1
coke:4,LIB,Kerry Douglas McKennon,4
coke:4,REP,John Cornyn,325
dawson:1,DEM,"Mary ""MJ"" Hegar",210
dawson:1,GRN,David B. Collins,2
dawson:1,LIB,Kerry Douglas McKennon,13
dawson:1,REP,John Cornyn,361
dawson:11,DEM,"Mary ""MJ"" Hegar",13
dawson:11,GRN,David B. Collins,1
dawson:11,LIB,Kerry Douglas McKennon,1
dawson:11,REP,John Cornyn,98
dawson:12,DEM,"Mary ""MJ"" Hegar",7
dawson:12,GRN,David B. Collins,2
dawson:12,LIB,Kerry Douglas McKennon,2
dawson:12,REP,John Cornyn,48
dawson:13,DEM,"Mary ""MJ"" Hegar",11
dawson:13,GRN,David B. Collins,0
dawson:13,LIB,Kerry Douglas McKennon,1
dawson:13,REP,John Cornyn,88
dawson:17,DEM,"Mary ""MJ"" Hegar",4
dawson:17,GRN,David B. Collins,0
dawson:17,LIB,Kerry Douglas McKennon,1
dawson:17,REP,John Cornyn,61
dawson:2,DEM,"Mary ""MJ"" Hegar",187
dawson:2,GRN,David B. Collins,2
dawson:2,LIB,Kerry Douglas McKennon,13
dawson:2,REP,John Cornyn,396
dawson:3,DEM,"Mary ""MJ"" Hegar",166
dawson:3,GRN,David B. Collins,6
dawson:3,LIB,Kerry Douglas McKennon,20
dawson:3,REP,John Cornyn,888
dawson:4,DEM,"Mary ""MJ"" Hegar",132
dawson:4,GRN,David B. Collins,0
dawson:4,LIB,Kerry Douglas McKennon,8
dawson:4,REP,John Cornyn,794
dawson:5,DEM,"Mary ""MJ"" Hegar",8
dawson:5,GRN,David B. Collins,1
dawson:5,LIB,Kerry Douglas McKennon,1
dawson:5,REP,John Cornyn,93
deaf-smith:1,,Overvotes:,2
deaf-smith:1,,Undervotes:,20
deaf-smith:1,DEM,Mary MJ Hegar,233
deaf-smith:1,GRN,David B. Collins,6
deaf-smith:1,LIB,Kerry Douglas McKennon,16
deaf-smith:1,REP,John Cornyn,559
deaf-smith:2,,Overvotes:,2
deaf-smith:2,,Undervotes:,23
deaf-smith:2,DEM,Mary MJ Hegar,288
deaf-smith:2,GRN,David B. Collins,8
deaf-smith:2,LIB,Kerry Douglas McKennon,17
deaf-smith:2,REP,John Cornyn,553
deaf-smith:3,,Overvotes:,0
deaf-smith:3,,Undervotes:,27
deaf-smith:3,DEM,Mary MJ Hegar,330
deaf-smith:3,GRN,David B. Collins,11
deaf-smith:3,LIB,Kerry Douglas McKennon,22
deaf-smith:3,REP,John Cornyn,1495
deaf-smith:4,,Overvotes:,0
deaf-smith:4,,Undervotes:,34
deaf-smith:4,DEM,Mary MJ Hegar,300
deaf-smith:4,GRN,David B. Collins,11
deaf-smith:4,LIB,Kerry Douglas McKennon,18
deaf-smith:4,REP,John Cornyn,666
glasscock:1,DEM,"Mary ""MJ"" Hegar",6
glasscock:1,GRN,David B. Collins,1
glasscock:1,LIB,Kerry Douglas McKennon,2
glasscock:1,REP,John Cornyn,177
glasscock:2,DEM,"Mary ""MJ"" Hegar",12
glasscock:2,GRN,David B. Collins,0
glasscock:2,LIB,Kerry Douglas McKennon,1
glasscock:2,REP,John Cornyn,120
glasscock:3,DEM,"Mary ""MJ"" Hegar",5
glasscock:3,GRN,David B. Collins,1
glasscock:3,LIB,Kerry Douglas McKennon,2
glasscock:3,REP,John Cornyn,145
glasscock:4,DEM,"Mary ""MJ"" Hegar",12
glasscock:4,GRN,David B. Collins,1
glasscock:4,LIB,Kerry Douglas McKennon,0
glasscock:4,REP,John Cornyn,161
hall:101,,Ricardo Turullols-Bonilla,0
hall:101,DEM,"Mary ""MJ"" Hegar",48
hall:101,GRN,David B. Collins,4
hall:101,LIB,Kerry Douglas McKennon,0
hall:101,REP,John Cornyn,176
hall:201,,Ricardo Turullols-Bonilla,0
hall:201,DEM,"Mary ""MJ"" Hegar",4
hall:201,GRN,David B. Collins,2
hall:201,LIB,Kerry Douglas McKennon,0
hall:201,REP,John Cornyn,55
hall:202,,Ricardo Turullols-Bonilla,0
hall:202,DEM,"Mary ""MJ"" Hegar",32
hall:202,GRN,David B. Collins,1
hall:202,LIB,Kerry Douglas McKennon,3
hall:202,REP,John Cornyn,216
hall:301,,Ricardo Turullols-Bonilla,0
hall:301,DEM,"Mary ""MJ"" Hegar",12
hall:301,GRN,David B. Collins,0
hall:301,LIB,Kerry Douglas McKennon,0
hall:301,REP,John Cornyn,57
hall:302,,Ricardo Turullols-Bonilla,0
hall:302,DEM,"Mary ""MJ"" Hegar",30
hall:302,GRN,David B. Collins,0
hall:302,LIB,Kerry Douglas McKennon,2
hall:302,REP,John Cornyn,188
hall:401,,Ricardo Turullols-Bonilla,0
hall:401,DEM,"Mary ""MJ"" Hegar",15
hall:401,GRN,David B. Collins,3
hall:401,LIB,Kerry Douglas McKennon,1
hall:401,REP,John Cornyn,178
hall:402,,Ricardo Turullols-Bonilla,0
hall:402,DEM,"Mary ""MJ"" Hegar",15
hall:402,GRN,David B. Collins,0
hall:402,LIB,Kerry Douglas McKennon,1
hall:402,REP,John Cornyn,97
irion:100,DEM,"Mary ""MJ"" Hegar",29
irion:100,GRN,David B. Collins,0
irion:100,LIB,Kerry Douglas McKennon,4
irion:100,REP,John Cornyn,180
irion:200,DEM,"Mary ""MJ"" Hegar",27
irion:200,GRN,David B. Collins,0
irion:200,LIB,Kerry Douglas McKennon,3
irion:200,REP,John Cornyn,182
irion:300,DEM,"Mary ""MJ"" Hegar",23
irion:300,GRN,David B. Collins,0
irion:300,LIB,Kerry Douglas McKennon,1
irion:300,REP,John Cornyn,151
irion:400,DEM,"Mary ""MJ"" Hegar",32
irion:400,GRN,David B. Collins,0
irion:400,LIB,Kerry Douglas McKennon,2
irion:400,REP,John Cornyn,250
lipscomb:106,DEM,"Mary ""MJ"" Hegar",22
lipscomb:106,GRN,David B. Collins,0
lipscomb:106,LIB,Kerry Douglas McKennon,4
lipscomb:106,REP,John Cornyn,184
lipscomb:202,DEM,"Mary ""MJ"" Hegar",7
lipscomb:202,GRN,David B. Collins,0
lipscomb:202,LIB,Kerry Douglas McKennon,2
lipscomb:202,REP,John Cornyn,108
lipscomb:207,DEM,"Mary ""MJ"" Hegar",15
lipscomb:207,GRN,David B. Collins,0
lipscomb:207,LIB,Kerry Douglas McKennon,4
lipscomb:207,REP,John Cornyn,231
lipscomb:303,DEM,"Mary ""MJ"" Hegar",26
lipscomb:303,GRN,David B. Collins,0
lipscomb:303,LIB,Kerry Douglas McKennon,3
lipscomb:303,REP,John Cornyn,270
lipscomb:308,DEM,"Mary ""MJ"" Hegar",9
lipscomb:308,GRN,David B. Collins,0
lipscomb:308,LIB,Kerry Douglas McKennon,4
lipscomb:308,REP,John Cornyn,98
lipscomb:404,DEM,"Mary ""MJ"" Hegar",31
lipscomb:404,GRN,David B. Collins,1
lipscomb:404,LIB,Kerry Douglas McKennon,4
lipscomb:404,REP,John Cornyn,220
lipscomb:409,DEM,"Mary ""MJ"" Hegar",7
