precinct,registered,ballots_cast,blank
collin:1,2737,1491,0
collin:10,803,455,0
collin:100,29,5,0
collin:102,2552,1654,1
collin:103,1401,570,0
collin:105,33,4,0
collin:106,1937,1003,0
collin:107,3385,1951,0
collin:108,2970,1563,1
collin:109,4577,2453,0
collin:11,4555,2291,0
collin:112,3135,1872,0
collin:113,3416,1506,0
collin:114,2533,1396,0
collin:116,4920,2748,0
collin:119,2374,1411,0
collin:12,2149,1253,1
collin:120,3666,2126,0
collin:121,2837,1545,0
collin:122,5090,3024,0
collin:123,2023,1141,0
collin:124,3253,1634,0
collin:126,4804,2521,0
collin:128,3071,1999,0
collin:129,4501,2319,0
collin:13,2187,1358,0
collin:130,3867,2138,0
collin:131,3119,1647,0
collin:133,2855,1177,0
collin:135,4223,2152,2
collin:137,2003,1099,0
collin:138,2101,1361,1
collin:139,4196,2067,0
collin:14,3268,1576,0
collin:140,4861,2744,0
collin:141,3457,2026,0
collin:143,2158,1288,0
collin:144,2874,1594,4
collin:145,1731,896,1
collin:147,2253,980,0
collin:148,661,405,1
collin:149,4442,2460,0
collin:15,1650,766,0
collin:150,2788,1902,0
collin:151,1772,893,0
collin:152,187,92,0
collin:153,4939,2503,6
collin:154,1939,1158,0
collin:155,2911,1553,0
collin:156,3726,1870,0
collin:157,4029,2164,0
collin:158,2781,1427,0
collin:159,3284,1445,1
collin:16,4631,2465,1
collin:160,434,283,0
collin:161,292,152,0
collin:162,328,229,0
collin:163,2180,1028,0
collin:165,934,557,0
collin:166,4174,2127,5
collin:167,5051,2653,0
collin:168,1923,1113,1
collin:169,3342,1772,0
collin:17,4647,2290,0
collin:170,1882,1007,3
collin:171,2490,1222,1
collin:172,6178,2987,0
collin:173,650,389,0
collin:174,4497,2129,1
collin:175,1978,1116,0
collin:176,4032,1467,0
collin:178,3002,1556,0
collin:179,4634,3237,0
collin:18,937,457,1
collin:180,3313,1580,0
collin:181,2563,1147,0
collin:182,3909,2004,0
collin:183,115,46,0
collin:185,48,22,0
collin:186,146,68,0
collin:187,573,337,0
collin:188,64,41,0
collin:189,849,440,1
collin:19,1644,1038,0
collin:190,82,42,0
collin:191,603,227,0
collin:192,3404,1841,1
collin:193,1193,604,0
collin:194,31,17,0
collin:195,916,541,0
collin:196,1904,994,0
collin:197,1283,681,0
collin:198,124,65,0
collin:199,3269,1928,0
collin:2,4654,2084,0
collin:20,995,655,0
collin:200,1943,991,1
collin:201,0,0,0
collin:202,2,2,0
collin:203,3150,1853,0
collin:204,349,230,0
collin:205,34,0,0
collin:206,1781,996,0
collin:207,3993,2125,1
collin:208,3375,2140,0
collin:21,4296,2537,1
collin:210,1661,914,1
collin:211,3302,1758,1
collin:213,3612,1848,0
collin:214,4427,2716,0
collin:215,2543,1056,0
collin:216,6210,3332,0
collin:217,2919,1550,0
collin:218,4110,2281,1
collin:219,4072,2234,0
collin:22,4400,2410,0
collin:221,5138,2874,0
collin:222,3575,1933,0
collin:223,2154,1196,0
collin:224,3036,1808,0
collin:226,4365,2250,0
collin:227,4310,2285,1
collin:228,5265,2155,0
collin:23,3117,1022,1
collin:230,4826,2039,0
collin:231,3247,1754,0
collin:232,3600,1991,0
collin:233,1922,968,0
collin:235,1874,966,0
collin:236,2889,1678,0
collin:237,2253,1011,0
collin:238,3923,1715,0
collin:239,4257,2284,0
collin:240,6041,3348,0
collin:241,1507,870,3
collin:242,3356,1912,0
collin:243,1517,915,0
collin:246,2832,1691,0
collin:247,2148,1364,0
collin:249,0,380,0
collin:25,3943,2150,8
collin:251,0,9,0
collin:252,0,0,0
collin:26,1314,568,0
collin:27,2741,1317,0
collin:28,3618,2032,0
collin:29,3981,2236,0
collin:3,2834,835,0
collin:31,2058,1365,0
collin:32,2493,1546,0
collin:33,5001,2743,0
collin:34,4438,2448,0
collin:35,1733,887,0
collin:37,2571,1392,1
collin:38,3167,1369,0
collin:39,3081,1510,0
collin:4,3016,1694,0
collin:40,3635,2040,1
collin:41,4334,2545,0
collin:42,1914,979,0
collin:43,3484,1467,0
collin:44,1722,664,0
collin:45,3462,1910,0
collin:46,3160,1253,1
collin:47,2594,1391,0
collin:49,2367,1482,0
collin:5,1029,576,0
collin:50,3099,1174,0
collin:51,1727,645,0
collin:52,4417,1789,0
collin:53,2230,1413,0
collin:54,3547,1585,1
collin:56,3326,1711,0
collin:57,5053,2489,0
collin:58,3704,1844,3
collin:59,4025,2078,0
collin:6,1616,744,1
collin:60,2967,1792,0
collin:61,1662,994,0
collin:62,2605,1419,1
collin:63,2039,1365,1
collin:64,2711,1446,0
collin:65,1265,721,0
collin:66,2193,1197,0
collin:67,2878,1486,0
collin:68,2014,930,1
collin:69,3793,2297,0
collin:7,1549,790,0
collin:70,1916,1156,0
collin:71,1815,1111,0
collin:72,1562,919,0
collin:75,2308,1334,0
collin:76,3323,1952,1
collin:77,3740,1864,0
collin:8,3617,1659,1
collin:80,3640,1854,0
collin:81,2865,1535,1
collin:82,2983,1390,0
collin:83,4036,2063,0
collin:85,3183,1666,0
collin:86,2972,1728,0
collin:89,3232,1783,0
collin:9,3379,1611,0
collin:90,3267,1934,0
collin:91,2319,1384,0
collin:93,287,157,0
collin:95,3101,1614,2
collin:96,1450,525,0
collin:97,1332,927,0
collin:98,1482,711,0
collin:99,291,126,0
