precinct,party,candidate,votes
1,DEM,"Mary ""MJ"" Hegar",705
1,GRN,David B. Collins,24
1,LIB,Kerry Douglas McKennon,24
1,REP,John Cornyn,371
2,DEM,"Mary ""MJ"" Hegar",523
2,GRN,David B. Collins,14
2,LIB,Kerry Douglas McKennon,17
2,REP,John Cornyn,225
3,DEM,"Mary ""MJ"" Hegar",178
3,GRN,David B. Collins,1
3,LIB,Kerry Douglas McKennon,3
3,REP,John Cornyn,80
4,DEM,"Mary ""MJ"" Hegar",43
4,GRN,David B. Collins,0
4,LIB,Kerry Douglas McKennon,2
4,REP,John Cornyn,49
5,DEM,"Mary ""MJ"" Hegar",122
5,GRN,David B. Collins,8
5,LIB,Kerry Douglas McKennon,5
5,REP,John Cornyn,108
6,DEM,"Mary ""MJ"" Hegar",61
6,GRN,David B. Collins,0
6,LIB,Kerry Douglas McKennon,0
6,REP,John Cornyn,23
7,DEM,"Mary ""MJ"" Hegar",23
7,GRN,David B. Collins,0
7,LIB,Kerry Douglas McKennon,1
7,REP,John Cornyn,67
8,DEM,"Mary ""MJ"" Hegar",459
8,GRN,David B. Collins,17
8,LIB,Kerry Douglas McKennon,22
8,REP,John Cornyn,669
9,DEM,"Mary ""MJ"" Hegar",344
9,GRN,David B. Collins,13
9,LIB,Kerry Douglas McKennon,23
9,REP,John Cornyn,195
