precinct,party,candidate,votes
301,DEM,Gerardo Arzate,296
301,REP,Bill Bowen,496
302,DEM,Gerardo Arzate,124
302,REP,Bill Bowen,230
303,DEM,Gerardo Arzate,190
303,REP,Bill Bowen,330
304,DEM,Gerardo Arzate,48
304,REP,Bill Bowen,70
305,DEM,Gerardo Arzate,58
305,REP,Bill Bowen,66
306,DEM,Gerardo Arzate,99
306,REP,Bill Bowen,160
307,DEM,Gerardo Arzate,229
307,REP,Bill Bowen,380
308,DEM,Gerardo Arzate,72
308,REP,Bill Bowen,247
309,DEM,Gerardo Arzate,113
309,REP,Bill Bowen,300
310,DEM,Gerardo Arzate,121
310,REP,Bill Bowen,271
311,DEM,Gerardo Arzate,110
311,REP,Bill Bowen,236
312,DEM,Gerardo Arzate,144
312,REP,Bill Bowen,402
313,DEM,Gerardo Arzate,44
313,REP,Bill Bowen,307
314,DEM,Gerardo Arzate,127
314,REP,Bill Bowen,400
