precinct,party,candidate,votes
161,,Claudia A. Perez,4
161,,Mary Macias,3
161,,Over Votes,0
161,,Paul N. Gomez,3
161,,Sigifredo (Fred) Montes,2
161,,Under Votes,4
163,,Claudia A. Perez,18
163,,Mary Macias,22
163,,Over Votes,0
163,,Paul N. Gomez,7
163,,Sigifredo (Fred) Montes,7
163,,Under Votes,8
165,,Claudia A. Perez,0
165,,Mary Macias,0
165,,Over Votes,0
165,,Paul N. Gomez,0
165,,Sigifredo (Fred) Montes,0
165,,Under Votes,0
166,,Claudia A. Perez,478
166,,Mary Macias,493
166,,Over Votes,0
166,,Paul N. Gomez,239
166,,Sigifredo (Fred) Montes,222
166,,Under Votes,398
167,,Claudia A. Perez,491
167,,Mary Macias,478
167,,Over Votes,0
167,,Paul N. Gomez,267
167,,Sigifredo (Fred) Montes,221
167,,Under Votes,287
168,,Claudia A. Perez,44
168,,Mary Macias,43
168,,Over Votes,0
168,,Paul N. Gomez,18
168,,Sigifredo (Fred) Montes,15
168,,Under Votes,28
169,,Claudia A. Perez,310
169,,Mary Macias,335
169,,Over Votes,0
169,,Paul N. Gomez,139
169,,Sigifredo (Fred) Montes,153
169,,Under Votes,173
170,,Claudia A. Perez,564
170,,Mary Macias,627
170,,Over Votes,0
170,,Paul N. Gomez,354
170,,Sigifredo (Fred) Montes,335
170,,Under Votes,266
174,,Claudia A. Perez,6
174,,Mary Macias,5
174,,Over Votes,0
174,,Paul N. Gomez,5
174,,Sigifredo (Fred) Montes,4
174,,Under Votes,6
180,,Claudia A. Perez,0
180,,Mary Macias,0
180,,Over Votes,0
180,,Paul N. Gomez,0
180,,Sigifredo (Fred) Montes,0
180,,Under Votes,0
205,,Claudia A. Perez,518
205,,Mary Macias,565
205,,Over Votes,0
205,,Paul N. Gomez,228
205,,Sigifredo (Fred) Montes,259
205,,Under Votes,198
206,,Claudia A. Perez,104
206,,Mary Macias,120
206,,Over Votes,0
206,,Paul N. Gomez,29
206,,Sigifredo (Fred) Montes,38
206,,Under Votes,45
215,,Claudia A. Perez,753
215,,Mary Macias,767
215,,Over Votes,0
215,,Paul N. Gomez,340
215,,Sigifredo (Fred) Montes,330
215,,Under Votes,332
216,,Claudia A. Perez,3
216,,Mary Macias,2
216,,Over Votes,0
216,,Paul N. Gomez,1
216,,Sigifredo (Fred) Montes,1
216,,Under Votes,7
217,,Claudia A. Perez,82
217,,Mary Macias,88
217,,Over Votes,0
217,,Paul N. Gomez,26
217,,Sigifredo (Fred) Montes,30
217,,Under Votes,24
86,,Claudia A. Perez,0
86,,Mary Macias,0
86,,Over Votes,0
86,,Paul N. Gomez,0
86,,Sigifredo (Fred) Montes,0
86,,Under Votes,0
