precinct,party,candidate,votes
1,,Over Votes,0
1,,Under Votes,25
1,,Write-in,0
1,DEM,Jay Kleberg,407
1,GRN,"Alfred Molison, Jr.",21
1,REP,Dawn Buckingham,227
10,,Over Votes,2
10,,Under Votes,66
10,,Write-in,0
10,DEM,Jay Kleberg,878
10,GRN,"Alfred Molison, Jr.",64
10,REP,Dawn Buckingham,377
100,,Over Votes,2
100,,Under Votes,41
100,,Write-in,0
100,DEM,Jay Kleberg,750
100,GRN,"Alfred Molison, Jr.",46
100,REP,Dawn Buckingham,402
101,,Over Votes,0
101,,Under Votes,24
101,,Write-in,0
101,DEM,Jay Kleberg,619
101,GRN,"Alfred Molison, Jr.",25
101,REP,Dawn Buckingham,423
102,,Over Votes,0
102,,Under Votes,32
102,,Write-in,0
102,DEM,Jay Kleberg,583
102,GRN,"Alfred Molison, Jr.",25
102,REP,Dawn Buckingham,268
103,,Over Votes,1
103,,Under Votes,26
103,,Write-in,0
103,DEM,Jay Kleberg,481
103,GRN,"Alfred Molison, Jr.",22
103,REP,Dawn Buckingham,357
104,,Over Votes,1
104,,Under Votes,36
104,,Write-in,0
104,DEM,Jay Kleberg,722
104,GRN,"Alfred Molison, Jr.",36
104,REP,Dawn Buckingham,470
105,,Over Votes,0
105,,Under Votes,32
105,,Write-in,0
105,DEM,Jay Kleberg,721
105,GRN,"Alfred Molison, Jr.",38
105,REP,Dawn Buckingham,377
106,,Over Votes,0
106,,Under Votes,38
106,,Write-in,1
106,DEM,Jay Kleberg,667
106,GRN,"Alfred Molison, Jr.",22
106,REP,Dawn Buckingham,361
107,,Over Votes,0
107,,Under Votes,29
107,,Write-in,1
107,DEM,Jay Kleberg,552
107,GRN,"Alfred Molison, Jr.",25
107,REP,Dawn Buckingham,283
108,,Over Votes,0
108,,Under Votes,23
108,,Write-in,1
108,DEM,Jay Kleberg,518
108,GRN,"Alfred Molison, Jr.",22
108,REP,Dawn Buckingham,409
109,,Over Votes,1
109,,Under Votes,17
109,,Write-in,0
109,DEM,Jay Kleberg,439
109,GRN,"Alfred Molison, Jr.",16
109,REP,Dawn Buckingham,290
11,,Over Votes,0
11,,Under Votes,62
11,,Write-in,0
11,DEM,Jay Kleberg,937
11,GRN,"Alfred Molison, Jr.",52
11,REP,Dawn Buckingham,515
110,,Over Votes,0
110,,Under Votes,45
110,,Write-in,4
110,DEM,Jay Kleberg,777
110,GRN,"Alfred Molison, Jr.",45
110,REP,Dawn Buckingham,411
111,,Over Votes,0
111,,Under Votes,15
111,,Write-in,0
111,DEM,Jay Kleberg,349
111,GRN,"Alfred Molison, Jr.",19
111,REP,Dawn Buckingham,131
112,,Over Votes,0
112,,Under Votes,55
112,,Write-in,0
112,DEM,Jay Kleberg,964
112,GRN,"Alfred Molison, Jr.",51
112,REP,Dawn Buckingham,427
