precinct,party,candidate,votes
1,,Over Votes,0
1,,Under Votes,29
1,DEM,Sergio Coronado,406
1,REP,Blanca Trout,245
10,,Over Votes,0
10,,Under Votes,58
10,DEM,Sergio Coronado,922
10,REP,Blanca Trout,407
11,,Over Votes,0
11,,Under Votes,52
11,DEM,Sergio Coronado,971
11,REP,Blanca Trout,543
12,,Over Votes,0
12,,Under Votes,54
12,DEM,Sergio Coronado,761
12,REP,Blanca Trout,662
13,,Over Votes,0
13,,Under Votes,48
13,DEM,Sergio Coronado,805
13,REP,Blanca Trout,565
14,,Over Votes,0
14,,Under Votes,53
14,DEM,Sergio Coronado,1001
14,REP,Blanca Trout,864
15,,Over Votes,0
15,,Under Votes,50
15,DEM,Sergio Coronado,712
15,REP,Blanca Trout,694
16,,Over Votes,0
16,,Under Votes,56
16,DEM,Sergio Coronado,973
16,REP,Blanca Trout,474
17,,Over Votes,0
17,,Under Votes,26
17,DEM,Sergio Coronado,462
17,REP,Blanca Trout,391
176,,Over Votes,0
176,,Under Votes,20
176,DEM,Sergio Coronado,302
176,REP,Blanca Trout,190
177,,Over Votes,0
177,,Under Votes,4
177,DEM,Sergio Coronado,139
177,REP,Blanca Trout,115
178,,Over Votes,0
178,,Under Votes,21
178,DEM,Sergio Coronado,204
178,REP,Blanca Trout,164
18,,Over Votes,0
18,,Under Votes,64
18,DEM,Sergio Coronado,812
18,REP,Blanca Trout,816
184,,Over Votes,0
184,,Under Votes,0
184,DEM,Sergio Coronado,0
184,REP,Blanca Trout,0
19,,Over Votes,0
19,,Under Votes,78
19,DEM,Sergio Coronado,908
19,REP,Blanca Trout,513
192,,Over Votes,0
192,,Under Votes,68
192,DEM,Sergio Coronado,1113
192,REP,Blanca Trout,912
193,,Over Votes,0
193,,Under Votes,46
193,DEM,Sergio Coronado,638
193,REP,Blanca Trout,482
194,,Over Votes,0
194,,Under Votes,30
194,DEM,Sergio Coronado,550
194,REP,Blanca Trout,422
195,,Over Votes,0
195,,Under Votes,40
195,DEM,Sergio Coronado,606
195,REP,Blanca Trout,480
2,,Over Votes,0
2,,Under Votes,60
2,DEM,Sergio Coronado,473
2,REP,Blanca Trout,306
20,,Over Votes,0
20,,Under Votes,26
20,DEM,Sergio Coronado,335
20,REP,Blanca Trout,205
21,,Over Votes,1
21,,Under Votes,38
21,DEM,Sergio Coronado,622
21,REP,Blanca Trout,605
22,,Over Votes,0
22,,Under Votes,48
22,DEM,Sergio Coronado,713
22,REP,Blanca Trout,413
23,,Over Votes,0
23,,Under Votes,41
23,DEM,Sergio Coronado,389
23,REP,Blanca Trout,332
24,,Over Votes,0
24,,Under Votes,68
24,DEM,Sergio Coronado,869
24,REP,Blanca Trout,741
26,,Over Votes,0
26,,Under Votes,40
26,DEM,Sergio Coronado,497
26,REP,Blanca Trout,291
27,,Over Votes,0
27,,Under Votes,30
27,DEM,Sergio Coronado,513
27,REP,Blanca Trout,232
28,,Over Votes,0
28,,Under Votes,5
28,DEM,Sergio Coronado,85
28,REP,Blanca Trout,31
3,,Over Votes,0
3,,Under Votes,55
3,DEM,Sergio Coronado,611
3,REP,Blanca Trout,475
4,,Over Votes,0
4,,Under Votes,48
4,DEM,Sergio Coronado,373
4,REP,Blanca Trout,294
43,,Over Votes,0
43,,Under Votes,38
43,DEM,Sergio Coronado,511
43,REP,Blanca Trout,513
44,,Over Votes,0
44,,Under Votes,48
44,DEM,Sergio Coronado,605
44,REP,Blanca Trout,482
45,,Over Votes,0
45,,Under Votes,67
45,DEM,Sergio Coronado,787
45,REP,Blanca Trout,505
46,,Over Votes,1
46,,Under Votes,23
46,DEM,Sergio Coronado,265
46,REP,Blanca Trout,167
47,,Over Votes,0
47,,Under Votes,47
47,DEM,Sergio Coronado,563
47,REP,Blanca Trout,522
48,,Over Votes,0
48,,Under Votes,29
48,DEM,Sergio Coronado,404
48,REP,Blanca Trout,200
49,,Over Votes,0
49,,Under Votes,31
49,DEM,Sergio Coronado,321
49,REP,Blanca Trout,255
5,,Over Votes,0
5,,Under Votes,52
5,DEM,Sergio Coronado,721
5,REP,Blanca Trout,503
50,,Over Votes,0
50,,Under Votes,35
50,DEM,Sergio Coronado,449
50,REP,Blanca Trout,260
51,,Over Votes,0
51,,Under Votes,38
51,DEM,Sergio Coronado,473
51,REP,Blanca Trout,395
52,,Over Votes,0
52,,Under Votes,38
52,DEM,Sergio Coronado,420
52,REP,Blanca Trout,262
53,,Over Votes,0
53,,Under Votes,43
53,DEM,Sergio Coronado,599
53,REP,Blanca Trout,339
54,,Over Votes,0
54,,Under Votes,36
54,DEM,Sergio Coronado,394
54,REP,Blanca Trout,266
55,,Over Votes,0
55,,Under Votes,58
55,DEM,Sergio Coronado,557
55,REP,Blanca Trout,427
56,,Over Votes,0
56,,Under Votes,42
56,DEM,Sergio Coronado,475
56,REP,Blanca Trout,377
57,,Over Votes,0
57,,Under Votes,30
57,DEM,Sergio Coronado,280
57,REP,Blanca Trout,200
58,,Over Votes,0
58,,Under Votes,38
58,DEM,Sergio Coronado,320
58,REP,Blanca Trout,267
59,,Over Votes,0
59,,Under Votes,44
59,DEM,Sergio Coronado,470
59,REP,Blanca Trout,258
6,,Over Votes,0
6,,Under Votes,42
6,DEM,Sergio Coronado,529
6,REP,Blanca Trout,698
7,,Over Votes,0
7,,Under Votes,40
7,DEM,Sergio Coronado,725
7,REP,Blanca Trout,603
8,,Over Votes,0
8,,Under Votes,63
8,DEM,Sergio Coronado,642
8,REP,Blanca Trout,881
9,,Over Votes,0
9,,Under Votes,67
9,DEM,Sergio Coronado,863
9,REP,Blanca Trout,724
