precinct,party,candidate,votes
1,,Over Votes,0
1,,Under Votes,34
1,DEM,Julia Maldonado,427
1,REP,Evan Young,219
10,,Over Votes,0
10,,Under Votes,68
10,DEM,Julia Maldonado,941
10,REP,Evan Young,378
100,,Over Votes,0
100,,Under Votes,44
100,DEM,Julia Maldonado,800
100,REP,Evan Young,397
101,,Over Votes,0
101,,Under Votes,40
101,DEM,Julia Maldonado,651
101,REP,Evan Young,400
102,,Over Votes,0
102,,Under Votes,38
102,DEM,Julia Maldonado,606
102,REP,Evan Young,264
103,,Over Votes,0
103,,Under Votes,22
103,DEM,Julia Maldonado,493
103,REP,Evan Young,372
104,,Over Votes,0
104,,Under Votes,42
104,DEM,Julia Maldonado,736
104,REP,Evan Young,487
105,,Over Votes,0
105,,Under Votes,25
105,DEM,Julia Maldonado,765
105,REP,Evan Young,378
106,,Over Votes,0
106,,Under Votes,43
106,DEM,Julia Maldonado,680
106,REP,Evan Young,366
107,,Over Votes,0
107,,Under Votes,29
107,DEM,Julia Maldonado,582
107,REP,Evan Young,279
108,,Over Votes,0
108,,Under Votes,31
108,DEM,Julia Maldonado,527
108,REP,Evan Young,415
109,,Over Votes,0
109,,Under Votes,23
109,DEM,Julia Maldonado,459
109,REP,Evan Young,281
11,,Over Votes,0
11,,Under Votes,66
11,DEM,Julia Maldonado,978
11,REP,Evan Young,522
110,,Over Votes,0
110,,Under Votes,49
110,DEM,Julia Maldonado,814
110,REP,Evan Young,419
111,,Over Votes,0
111,,Under Votes,15
111,DEM,Julia Maldonado,369
111,REP,Evan Young,130
112,,Over Votes,0
112,,Under Votes,67
112,DEM,Julia Maldonado,1018
112,REP,Evan Young,412
113,,Over Votes,0
113,,Under Votes,33
113,DEM,Julia Maldonado,648
113,REP,Evan Young,339
114,,Over Votes,0
114,,Under Votes,75
114,DEM,Julia Maldonado,1008
114,REP,Evan Young,480
115,,Over Votes,0
115,,Under Votes,34
115,DEM,Julia Maldonado,582
115,REP,Evan Young,357
116,,Over Votes,0
116,,Under Votes,39
116,DEM,Julia Maldonado,863
116,REP,Evan Young,548
117,,Over Votes,0
117,,Under Votes,41
117,DEM,Julia Maldonado,770
117,REP,Evan Young,367
118,,Over Votes,0
118,,Under Votes,30
118,DEM,Julia Maldonado,646
118,REP,Evan Young,324
119,,Over Votes,0
119,,Under Votes,28
119,DEM,Julia Maldonado,615
119,REP,Evan Young,318
12,,Over Votes,0
12,,Under Votes,53
12,DEM,Julia Maldonado,763
12,REP,Evan Young,661
