precinct,party,candidate,votes
127,,Over Votes,0
127,,Under Votes,8
127,DEM,John Lira,41
127,IND,Frank Lopez Jr.,5
127,REP,Tony Gonzales,47
156,,Over Votes,0
156,,Under Votes,28
156,DEM,John Lira,293
156,IND,Frank Lopez Jr.,27
156,REP,Tony Gonzales,125
157,,Over Votes,0
157,,Under Votes,11
157,DEM,John Lira,89
157,IND,Frank Lopez Jr.,4
157,REP,Tony Gonzales,27
164,,Over Votes,1
164,,Under Votes,46
164,DEM,John Lira,512
164,IND,Frank Lopez Jr.,85
164,REP,Tony Gonzales,303
165,,Over Votes,0
165,,Under Votes,45
165,DEM,John Lira,515
165,IND,Frank Lopez Jr.,83
165,REP,Tony Gonzales,236
166,,Over Votes,1
166,,Under Votes,40
166,DEM,John Lira,375
166,IND,Frank Lopez Jr.,59
166,REP,Tony Gonzales,440
167,,Over Votes,0
167,,Under Votes,75
167,DEM,John Lira,484
167,IND,Frank Lopez Jr.,69
167,REP,Tony Gonzales,244
168,,Over Votes,0
168,,Under Votes,3
168,DEM,John Lira,37
168,IND,Frank Lopez Jr.,8
168,REP,Tony Gonzales,26
169,,Over Votes,0
169,,Under Votes,35
169,DEM,John Lira,288
169,IND,Frank Lopez Jr.,48
169,REP,Tony Gonzales,184
170,,Over Votes,0
170,,Under Votes,45
170,DEM,John Lira,446
170,IND,Frank Lopez Jr.,116
170,REP,Tony Gonzales,466
171,,Over Votes,0
171,,Under Votes,30
171,DEM,John Lira,262
171,IND,Frank Lopez Jr.,146
171,REP,Tony Gonzales,153
172,,Over Votes,1
172,,Under Votes,102
172,DEM,John Lira,555
172,IND,Frank Lopez Jr.,115
172,REP,Tony Gonzales,368
173,,Over Votes,0
173,,Under Votes,18
173,DEM,John Lira,187
173,IND,Frank Lopez Jr.,23
173,REP,Tony Gonzales,128
174,,Over Votes,0
174,,Under Votes,1
174,DEM,John Lira,7
174,IND,Frank Lopez Jr.,0
174,REP,Tony Gonzales,5
183,,Over Votes,0
183,,Under Votes,0
183,DEM,John Lira,0
183,IND,Frank Lopez Jr.,0
183,REP,Tony Gonzales,0
194,,Over Votes,0
194,,Under Votes,21
194,DEM,John Lira,500
194,IND,Frank Lopez Jr.,40
194,REP,Tony Gonzales,441
195,,Over Votes,0
195,,Under Votes,27
195,DEM,John Lira,541
195,IND,Frank Lopez Jr.,71
195,REP,Tony Gonzales,487
206,,Over Votes,0
206,,Under Votes,6
206,DEM,John Lira,88
206,IND,Frank Lopez Jr.,24
206,REP,Tony Gonzales,50
207,,Over Votes,0
207,,Under Votes,26
207,DEM,John Lira,217
207,IND,Frank Lopez Jr.,116
207,REP,Tony Gonzales,108
208,,Over Votes,0
208,,Under Votes,13
208,DEM,John Lira,157
208,IND,Frank Lopez Jr.,53
208,REP,Tony Gonzales,80
214,,Over Votes,0
214,,Under Votes,0
214,DEM,John Lira,0
214,IND,Frank Lopez Jr.,0
214,REP,Tony Gonzales,0
221,,Over Votes,0
221,,Under Votes,0
221,DEM,John Lira,3
221,IND,Frank Lopez Jr.,0
221,REP,Tony Gonzales,0
43,,Over Votes,0
43,,Under Votes,36
43,DEM,John Lira,458
43,IND,Frank Lopez Jr.,38
43,REP,Tony Gonzales,530
86,,Over Votes,0
86,,Under Votes,2
86,DEM,John Lira,0
86,IND,Frank Lopez Jr.,0
86,REP,Tony Gonzales,3
