precinct,party,candidate,votes
1001,,Over Votes,0
1001,,Under Votes,20
1001,DEM,Mike Collier,530
1001,LIB,Shanna Steele,30
1001,REP,Dan Patrick,234
1002,,Over Votes,0
1002,,Under Votes,0
1002,DEM,Mike Collier,17
1002,LIB,Shanna Steele,4
1002,REP,Dan Patrick,82
1003,,Over Votes,0
1003,,Under Votes,16
1003,DEM,Mike Collier,479
1003,LIB,Shanna Steele,37
1003,REP,Dan Patrick,757
1004,,Over Votes,0
1004,,Under Votes,0
1004,DEM,Mike Collier,5
1004,LIB,Shanna Steele,1
1004,REP,Dan Patrick,9
1005,,Over Votes,0
1005,,Under Votes,19
1005,DEM,Mike Collier,679
1005,LIB,Shanna Steele,53
1005,REP,Dan Patrick,1308
1006,,Over Votes,0
1006,,Under Votes,24
1006,DEM,Mike Collier,875
1006,LIB,Shanna Steele,58
1006,REP,Dan Patrick,1094
1007,,Over Votes,0
1007,,Under Votes,12
1007,DEM,Mike Collier,271
1007,LIB,Shanna Steele,34
1007,REP,Dan Patrick,790
1008,,Over Votes,0
1008,,Under Votes,1
1008,DEM,Mike Collier,19
1008,LIB,Shanna Steele,1
1008,REP,Dan Patrick,43
1009,,Over Votes,0
1009,,Under Votes,38
1009,DEM,Mike Collier,348
1009,LIB,Shanna Steele,47
1009,REP,Dan Patrick,1271
1010,,Over Votes,0
1010,,Under Votes,31
1010,DEM,Mike Collier,289
1010,LIB,Shanna Steele,35
1010,REP,Dan Patrick,746
1011,,Over Votes,0
1011,,Under Votes,32
1011,DEM,Mike Collier,465
1011,LIB,Shanna Steele,54
1011,REP,Dan Patrick,903
1012,,Over Votes,0
1012,,Under Votes,48
1012,DEM,Mike Collier,620
1012,LIB,Shanna Steele,45
1012,REP,Dan Patrick,814
1013,,Over Votes,0
1013,,Under Votes,25
1013,DEM,Mike Collier,273
1013,LIB,Shanna Steele,24
1013,REP,Dan Patrick,604
1014,,Over Votes,0
1014,,Under Votes,14
1014,DEM,Mike Collier,192
1014,LIB,Shanna Steele,23
1014,REP,Dan Patrick,954
1015,,Over Votes,0
1015,,Under Votes,20
1015,DEM,Mike Collier,315
1015,LIB,Shanna Steele,35
1015,REP,Dan Patrick,1057
1016,,Over Votes,0
1016,,Under Votes,20
1016,DEM,Mike Collier,268
