precinct,party,candidate,votes
1001,DEM,Staci Williams,456
1001,REP,Jeff Boyd,832
1002,DEM,Staci Williams,341
1002,REP,Jeff Boyd,56
1003,DEM,Staci Williams,1199
1003,REP,Jeff Boyd,259
1007,DEM,Staci Williams,3426
1007,REP,Jeff Boyd,2983
1008,DEM,Staci Williams,161
1008,REP,Jeff Boyd,532
1010,DEM,Staci Williams,564
1010,REP,Jeff Boyd,2390
1012,DEM,Staci Williams,617
1012,REP,Jeff Boyd,726
1013,DEM,Staci Williams,858
1013,REP,Jeff Boyd,944
1015,DEM,Staci Williams,233
1015,REP,Jeff Boyd,721
1018,DEM,Staci Williams,253
1018,REP,Jeff Boyd,1237
1021,DEM,Staci Williams,59
1021,REP,Jeff Boyd,501
1024,DEM,Staci Williams,164
1024,REP,Jeff Boyd,567
1025,DEM,Staci Williams,1208
1025,REP,Jeff Boyd,1640
1037,DEM,Staci Williams,664
1037,REP,Jeff Boyd,872
1040,DEM,Staci Williams,895
1040,REP,Jeff Boyd,281
1048,DEM,Staci Williams,635
1048,REP,Jeff Boyd,355
1054,DEM,Staci Williams,110
1054,REP,Jeff Boyd,159
1058,DEM,Staci Williams,930
1058,REP,Jeff Boyd,235
1067,DEM,Staci Williams,1367
1067,REP,Jeff Boyd,787
1068,DEM,Staci Williams,26
1068,REP,Jeff Boyd,324
1072,DEM,Staci Williams,17
1072,REP,Jeff Boyd,56
1073,DEM,Staci Williams,297
1073,REP,Jeff Boyd,523
1074,DEM,Staci Williams,1562
1074,REP,Jeff Boyd,1129
1076,DEM,Staci Williams,2455
1076,REP,Jeff Boyd,1430
1085,DEM,Staci Williams,1074
1085,REP,Jeff Boyd,1126
1087,DEM,Staci Williams,556
1087,REP,Jeff Boyd,972
1094,DEM,Staci Williams,3
1094,REP,Jeff Boyd,1
1097,DEM,Staci Williams,1804
1097,REP,Jeff Boyd,1958
1103,DEM,Staci Williams,1557
1103,REP,Jeff Boyd,2669
1109,DEM,Staci Williams,365
1109,REP,Jeff Boyd,358
1114,DEM,Staci Williams,2565
1114,REP,Jeff Boyd,242
1118,DEM,Staci Williams,2591
1118,REP,Jeff Boyd,2890
1120,DEM,Staci Williams,789
1120,REP,Jeff Boyd,1576
1128,DEM,Staci Williams,889
1128,REP,Jeff Boyd,1807
1134,DEM,Staci Williams,2185
1134,REP,Jeff Boyd,743
1141,DEM,Staci Williams,1234
1141,REP,Jeff Boyd,1624
1152,DEM,Staci Williams,476
1152,REP,Jeff Boyd,696
1153,DEM,Staci Williams,1403
1153,REP,Jeff Boyd,88
1154,DEM,Staci Williams,1206
1154,REP,Jeff Boyd,947
2016,DEM,Staci Williams,1419
2016,REP,Jeff Boyd,1210
2017,DEM,Staci Williams,1536
2017,REP,Jeff Boyd,103
2022,DEM,Staci Williams,1041
2022,REP,Jeff Boyd,1306
2023,DEM,Staci Williams,1089
2023,REP,Jeff Boyd,175
2031,DEM,Staci Williams,1608
2031,REP,Jeff Boyd,132
2033,DEM,Staci Williams,578
2033,REP,Jeff Boyd,239
2034,DEM,Staci Williams,2791
2034,REP,Jeff Boyd,237
2036,DEM,Staci Williams,665
2036,REP,Jeff Boyd,39
2043,DEM,Staci Williams,358
2043,REP,Jeff Boyd,136
2050,DEM,Staci Williams,1930
2050,REP,Jeff Boyd,95
2051,DEM,Staci Williams,1547
2051,REP,Jeff Boyd,74
2052,DEM,Staci Williams,1510
2052,REP,Jeff Boyd,94
2055,DEM,Staci Williams,653
2055,REP,Jeff Boyd,35
2056,DEM,Staci Williams,296
2056,REP,Jeff Boyd,102
2059,DEM,Staci Williams,1393
2059,REP,Jeff Boyd,115
2060,DEM,Staci Williams,1596
2060,REP,Jeff Boyd,603
2061,DEM,Staci Williams,1991
2061,REP,Jeff Boyd,1731
2066,DEM,Staci Williams,2173
2066,REP,Jeff Boyd,764
2070,DEM,Staci Williams,648
2070,REP,Jeff Boyd,424
2075,DEM,Staci Williams,1170
2075,REP,Jeff Boyd,107
2077,DEM,Staci Williams,1244
2077,REP,Jeff Boyd,185
2078,DEM,Staci Williams,266
2078,REP,Jeff Boyd,124
2081,DEM,Staci Williams,644
2081,REP,Jeff Boyd,246
2088,DEM,Staci Williams,1270
2088,REP,Jeff Boyd,499
2089,DEM,Staci Williams,911
2089,REP,Jeff Boyd,47
2090,DEM,Staci Williams,268
2090,REP,Jeff Boyd,272
2091,DEM,Staci Williams,297
2091,REP,Jeff Boyd,165
2092,DEM,Staci Williams,349
2092,REP,Jeff Boyd,192
2093,DEM,Staci Williams,245
2093,REP,Jeff Boyd,83
2096,DEM,Staci Williams,1151
2096,REP,Jeff Boyd,520
2099,DEM,Staci Williams,1434
2099,REP,Jeff Boyd,881
2100,DEM,Staci Williams,1142
2100,REP,Jeff Boyd,577
2101,DEM,Staci Williams,1609
2101,REP,Jeff Boyd,583
2106,DEM,Staci Williams,2578
2106,REP,Jeff Boyd,1125
2108,DEM,Staci Williams,3389
2108,REP,Jeff Boyd,1201
2112,DEM,Staci Williams,192
2112,REP,Jeff Boyd,62
2115,DEM,Staci Williams,926
2115,REP,Jeff Boyd,287
2116,DEM,Staci Williams,1325
2116,REP,Jeff Boyd,92
2123,DEM,Staci Williams,1330
2123,REP,Jeff Boyd,92
2136,DEM,Staci Williams,163
2136,REP,Jeff Boyd,67
2137,DEM,Staci Williams,213
2137,REP,Jeff Boyd,112
2138,DEM,Staci Williams,223
2138,REP,Jeff Boyd,98
2139,DEM,Staci Williams,31
2139,REP,Jeff Boyd,17
2151,DEM,Staci Williams,1285
2151,REP,Jeff Boyd,682
2157,DEM,Staci Williams,1388
2157,REP,Jeff Boyd,1237
3004,DEM,Staci Williams,1014
3004,REP,Jeff Boyd,1654
3005,DEM,Staci Williams,824
3005,REP,Jeff Boyd,2516
3006,DEM,Staci Williams,2580
