precinct,party,candidate,votes
1,,Write-in,3
1,DEM,Joseph R Biden,280
1,GRN,Howie Hawkins,2
1,LIB,Jo Jorgensen,18
1,REP,Donald J Trump,1880
10,,Write-in,0
10,DEM,Joseph R Biden,21
10,GRN,Howie Hawkins,0
10,LIB,Jo Jorgensen,2
10,REP,Donald J Trump,225
11,,Write-in,0
11,DEM,Joseph R Biden,187
11,GRN,Howie Hawkins,1
11,LIB,Jo Jorgensen,2
11,REP,Donald J Trump,240
12,,Write-in,0
12,DEM,Joseph R Biden,34
12,GRN,Howie Hawkins,0
12,LIB,Jo Jorgensen,2
12,REP,Donald J Trump,100
13,,Write-in,0
13,DEM,Joseph R Biden,17
13,GRN,Howie Hawkins,0
13,LIB,Jo Jorgensen,3
13,REP,Donald J Trump,239
14,,Write-in,0
14,DEM,Joseph R Biden,64
14,GRN,Howie Hawkins,0
14,LIB,Jo Jorgensen,2
14,REP,Donald J Trump,299
15,,Write-in,0
15,DEM,Joseph R Biden,29
15,GRN,Howie Hawkins,1
15,LIB,Jo Jorgensen,4
15,REP,Donald J Trump,208
2,,Write-in,2
2,DEM,Joseph R Biden,297
2,GRN,Howie Hawkins,3
2,LIB,Jo Jorgensen,13
2,REP,Donald J Trump,774
3,,Write-in,0
3,DEM,Joseph R Biden,6
3,GRN,Howie Hawkins,0
3,LIB,Jo Jorgensen,0
3,REP,Donald J Trump,115
4,,Write-in,0
4,DEM,Joseph R Biden,40
4,GRN,Howie Hawkins,0
4,LIB,Jo Jorgensen,1
4,REP,Donald J Trump,294
5,,Write-in,0
5,DEM,Joseph R Biden,360
5,GRN,Howie Hawkins,4
5,LIB,Jo Jorgensen,6
5,REP,Donald J Trump,1178
6,,Write-in,0
6,DEM,Joseph R Biden,41
6,GRN,Howie Hawkins,0
6,LIB,Jo Jorgensen,4
6,REP,Donald J Trump,329
7,,Write-in,3
7,DEM,Joseph R Biden,109
7,GRN,Howie Hawkins,4
7,LIB,Jo Jorgensen,7
7,REP,Donald J Trump,433
8,,Write-in,0
8,DEM,Joseph R Biden,71
8,GRN,Howie Hawkins,3
8,LIB,Jo Jorgensen,2
8,REP,Donald J Trump,360
9,,Write-in,0
9,DEM,Joseph R Biden,79
9,GRN,Howie Hawkins,0
9,LIB,Jo Jorgensen,1
9,REP,Donald J Trump,317
