precinct,party,candidate,votes
2,DEM,Janet T. Dudding,54
2,LIB,V. Alonzo Echevarria-Garza,15
2,REP,Glenn Hegar,753
3,DEM,Janet T. Dudding,67
3,LIB,V. Alonzo Echevarria-Garza,15
3,REP,Glenn Hegar,1322
4,DEM,Janet T. Dudding,40
4,LIB,V. Alonzo Echevarria-Garza,12
4,REP,Glenn Hegar,647
5,DEM,Janet T. Dudding,7
5,LIB,V. Alonzo Echevarria-Garza,0
5,REP,Glenn Hegar,115
6,DEM,Janet T. Dudding,16
6,LIB,V. Alonzo Echevarria-Garza,1
6,REP,Glenn Hegar,88
8,DEM,Janet T. Dudding,74
8,LIB,V. Alonzo Echevarria-Garza,12
8,REP,Glenn Hegar,481
9,DEM,Janet T. Dudding,32
9,LIB,V. Alonzo Echevarria-Garza,5
9,REP,Glenn Hegar,296
