precinct,party,candidate,votes
2,DEM,Erin A. Nowell,53
2,LIB,Thomas Edward Oxford,14
2,REP,Debra Lehrmann,761
3,DEM,Erin A. Nowell,72
3,LIB,Thomas Edward Oxford,12
3,REP,Debra Lehrmann,1319
4,DEM,Erin A. Nowell,47
4,LIB,Thomas Edward Oxford,12
4,REP,Debra Lehrmann,640
5,DEM,Erin A. Nowell,8
5,LIB,Thomas Edward Oxford,0
5,REP,Debra Lehrmann,113
6,DEM,Erin A. Nowell,15
6,LIB,Thomas Edward Oxford,2
6,REP,Debra Lehrmann,88
8,DEM,Erin A. Nowell,76
8,LIB,Thomas Edward Oxford,4
8,REP,Debra Lehrmann,479
9,DEM,Erin A. Nowell,32
9,LIB,Thomas Edward Oxford,1
9,REP,Debra Lehrmann,301
