precinct,party,candidate,votes
103,DEM,Elizabeth Davis Frizell,166
103,REP,Bert Richardson,834
104,DEM,Elizabeth Davis Frizell,129
104,REP,Bert Richardson,612
105,DEM,Elizabeth Davis Frizell,77
105,REP,Bert Richardson,88
1051,DEM,Elizabeth Davis Frizell,223
1051,REP,Bert Richardson,224
142,DEM,Elizabeth Davis Frizell,707
142,REP,Bert Richardson,843
144,DEM,Elizabeth Davis Frizell,512
144,REP,Bert Richardson,1174
146,DEM,Elizabeth Davis Frizell,775
146,REP,Bert Richardson,1270
148,DEM,Elizabeth Davis Frizell,983
148,REP,Bert Richardson,1488
150,DEM,Elizabeth Davis Frizell,607
150,REP,Bert Richardson,969
151,DEM,Elizabeth Davis Frizell,558
151,REP,Bert Richardson,1692
152,DEM,Elizabeth Davis Frizell,1084
152,REP,Bert Richardson,2543
159,DEM,Elizabeth Davis Frizell,924
159,REP,Bert Richardson,1774
165,DEM,Elizabeth Davis Frizell,1217
165,REP,Bert Richardson,2915
1651,DEM,Elizabeth Davis Frizell,0
1651,REP,Bert Richardson,0
166,DEM,Elizabeth Davis Frizell,645
166,REP,Bert Richardson,1567
167,DEM,Elizabeth Davis Frizell,1194
167,REP,Bert Richardson,3086
168,DEM,Elizabeth Davis Frizell,0
168,REP,Bert Richardson,2
169,DEM,Elizabeth Davis Frizell,0
169,REP,Bert Richardson,1
170,DEM,Elizabeth Davis Frizell,656
170,REP,Bert Richardson,1537
172,DEM,Elizabeth Davis Frizell,88
172,REP,Bert Richardson,282
192,DEM,Elizabeth Davis Frizell,164
192,REP,Bert Richardson,291
193,DEM,Elizabeth Davis Frizell,630
193,REP,Bert Richardson,1370
197,DEM,Elizabeth Davis Frizell,190
197,REP,Bert Richardson,410
218,DEM,Elizabeth Davis Frizell,1187
218,REP,Bert Richardson,1061
219,DEM,Elizabeth Davis Frizell,940
219,REP,Bert Richardson,1068
220,DEM,Elizabeth Davis Frizell,1676
220,REP,Bert Richardson,2898
221,DEM,Elizabeth Davis Frizell,454
221,REP,Bert Richardson,1242
223,DEM,Elizabeth Davis Frizell,1104
223,REP,Bert Richardson,1029
224,DEM,Elizabeth Davis Frizell,1127
224,REP,Bert Richardson,1153
225,DEM,Elizabeth Davis Frizell,475
225,REP,Bert Richardson,1895
226,DEM,Elizabeth Davis Frizell,525
226,REP,Bert Richardson,1270
227,DEM,Elizabeth Davis Frizell,402
227,REP,Bert Richardson,1888
228,DEM,Elizabeth Davis Frizell,379
228,REP,Bert Richardson,2077
232,DEM,Elizabeth Davis Frizell,634
232,REP,Bert Richardson,690
2321,DEM,Elizabeth Davis Frizell,0
2321,REP,Bert Richardson,0
2322,DEM,Elizabeth Davis Frizell,0
2322,REP,Bert Richardson,0
2323,DEM,Elizabeth Davis Frizell,48
2323,REP,Bert Richardson,289
258,DEM,Elizabeth Davis Frizell,260
258,REP,Bert Richardson,1461
263,DEM,Elizabeth Davis Frizell,1873
263,REP,Bert Richardson,4212
274,DEM,Elizabeth Davis Frizell,153
274,REP,Bert Richardson,467
275,DEM,Elizabeth Davis Frizell,84
275,REP,Bert Richardson,201
276,DEM,Elizabeth Davis Frizell,712
276,REP,Bert Richardson,988
277,DEM,Elizabeth Davis Frizell,284
277,REP,Bert Richardson,1573
278,DEM,Elizabeth Davis Frizell,337
278,REP,Bert Richardson,1748
279,DEM,Elizabeth Davis Frizell,146
279,REP,Bert Richardson,776
280,DEM,Elizabeth Davis Frizell,399
280,REP,Bert Richardson,538
2801,DEM,Elizabeth Davis Frizell,0
2801,REP,Bert Richardson,0
281,DEM,Elizabeth Davis Frizell,36
281,REP,Bert Richardson,108
283,DEM,Elizabeth Davis Frizell,912
283,REP,Bert Richardson,1578
301,DEM,Elizabeth Davis Frizell,519
301,REP,Bert Richardson,391
306,DEM,Elizabeth Davis Frizell,1965
306,REP,Bert Richardson,1333
3061,DEM,Elizabeth Davis Frizell,0
3061,REP,Bert Richardson,0
309,DEM,Elizabeth Davis Frizell,29
309,REP,Bert Richardson,55
311,DEM,Elizabeth Davis Frizell,497
311,REP,Bert Richardson,131
312,DEM,Elizabeth Davis Frizell,6
312,REP,Bert Richardson,1
314,DEM,Elizabeth Davis Frizell,1709
314,REP,Bert Richardson,664
315,DEM,Elizabeth Davis Frizell,1583
315,REP,Bert Richardson,876
316,DEM,Elizabeth Davis Frizell,921
316,REP,Bert Richardson,502
330,DEM,Elizabeth Davis Frizell,1011
330,REP,Bert Richardson,546
3301,DEM,Elizabeth Davis Frizell,1
3301,REP,Bert Richardson,2
331,DEM,Elizabeth Davis Frizell,1214
331,REP,Bert Richardson,325
3311,DEM,Elizabeth Davis Frizell,132
3311,REP,Bert Richardson,105
334,DEM,Elizabeth Davis Frizell,652
334,REP,Bert Richardson,183
336,DEM,Elizabeth Davis Frizell,2397
336,REP,Bert Richardson,323
338,DEM,Elizabeth Davis Frizell,1501
338,REP,Bert Richardson,937
340,DEM,Elizabeth Davis Frizell,323
340,REP,Bert Richardson,57
