precinct,party,candidate,votes
103,DEM,Chrysta Castaneda,153
103,GRN,"Katija ""Kat"" Gruene",6
103,LIB,Matt Sterett,16
103,REP,"James ""Jim"" Wright",825
104,DEM,Chrysta Castaneda,129
104,GRN,"Katija ""Kat"" Gruene",4
104,LIB,Matt Sterett,11
104,REP,"James ""Jim"" Wright",599
105,DEM,Chrysta Castaneda,66
105,GRN,"Katija ""Kat"" Gruene",5
105,LIB,Matt Sterett,16
105,REP,"James ""Jim"" Wright",80
1051,DEM,Chrysta Castaneda,219
1051,GRN,"Katija ""Kat"" Gruene",9
1051,LIB,Matt Sterett,15
1051,REP,"James ""Jim"" Wright",209
142,DEM,Chrysta Castaneda,676
142,GRN,"Katija ""Kat"" Gruene",14
142,LIB,Matt Sterett,44
142,REP,"James ""Jim"" Wright",834
144,DEM,Chrysta Castaneda,477
144,GRN,"Katija ""Kat"" Gruene",31
144,LIB,Matt Sterett,31
144,REP,"James ""Jim"" Wright",1163
146,DEM,Chrysta Castaneda,746
146,GRN,"Katija ""Kat"" Gruene",30
146,LIB,Matt Sterett,48
146,REP,"James ""Jim"" Wright",1233
148,DEM,Chrysta Castaneda,936
148,GRN,"Katija ""Kat"" Gruene",24
148,LIB,Matt Sterett,64
148,REP,"James ""Jim"" Wright",1471
150,DEM,Chrysta Castaneda,585
150,GRN,"Katija ""Kat"" Gruene",12
150,LIB,Matt Sterett,36
150,REP,"James ""Jim"" Wright",958
151,DEM,Chrysta Castaneda,517
151,GRN,"Katija ""Kat"" Gruene",30
151,LIB,Matt Sterett,59
151,REP,"James ""Jim"" Wright",1655
152,DEM,Chrysta Castaneda,1053
152,GRN,"Katija ""Kat"" Gruene",24
152,LIB,Matt Sterett,103
152,REP,"James ""Jim"" Wright",2479
159,DEM,Chrysta Castaneda,858
159,GRN,"Katija ""Kat"" Gruene",37
159,LIB,Matt Sterett,69
159,REP,"James ""Jim"" Wright",1738
165,DEM,Chrysta Castaneda,1137
165,GRN,"Katija ""Kat"" Gruene",42
165,LIB,Matt Sterett,107
165,REP,"James ""Jim"" Wright",2866
1651,DEM,Chrysta Castaneda,0
1651,GRN,"Katija ""Kat"" Gruene",0
1651,LIB,Matt Sterett,0
1651,REP,"James ""Jim"" Wright",0
166,DEM,Chrysta Castaneda,619
166,GRN,"Katija ""Kat"" Gruene",21
166,LIB,Matt Sterett,82
166,REP,"James ""Jim"" Wright",1511
167,DEM,Chrysta Castaneda,1140
167,GRN,"Katija ""Kat"" Gruene",49
167,LIB,Matt Sterett,108
167,REP,"James ""Jim"" Wright",3016
168,DEM,Chrysta Castaneda,0
168,GRN,"Katija ""Kat"" Gruene",0
168,LIB,Matt Sterett,0
168,REP,"James ""Jim"" Wright",2
169,DEM,Chrysta Castaneda,0
169,GRN,"Katija ""Kat"" Gruene",0
169,LIB,Matt Sterett,0
169,REP,"James ""Jim"" Wright",1
170,DEM,Chrysta Castaneda,622
170,GRN,"Katija ""Kat"" Gruene",22
