precinct,party,candidate,votes
11,,Over Votes,0
11,,Under Votes,64
11,DEM,Erin A. Nowell,192
11,LIB,Thomas Edward Oxford,6
11,REP,Debra Lehrmann,306
12,,Over Votes,0
12,,Under Votes,10
12,DEM,Erin A. Nowell,21
12,LIB,Thomas Edward Oxford,3
12,REP,Debra Lehrmann,248
21,,Over Votes,0
21,,Under Votes,61
21,DEM,Erin A. Nowell,210
21,LIB,Thomas Edward Oxford,10
21,REP,Debra Lehrmann,373
22,,Over Votes,0
22,,Under Votes,20
22,DEM,Erin A. Nowell,32
22,LIB,Thomas Edward Oxford,2
22,REP,Debra Lehrmann,99
31,,Over Votes,0
31,,Under Votes,20
31,DEM,Erin A. Nowell,61
31,LIB,Thomas Edward Oxford,3
31,REP,Debra Lehrmann,273
32,,Over Votes,0
32,,Under Votes,13
32,DEM,Erin A. Nowell,38
32,LIB,Thomas Edward Oxford,13
32,REP,Debra Lehrmann,375
41,,Over Votes,0
41,,Under Votes,6
41,DEM,Erin A. Nowell,28
41,LIB,Thomas Edward Oxford,1
41,REP,Debra Lehrmann,221
42,,Over Votes,0
42,,Under Votes,10
42,DEM,Erin A. Nowell,40
42,LIB,Thomas Edward Oxford,4
42,REP,Debra Lehrmann,393
43,,Over Votes,0
43,,Under Votes,7
43,DEM,Erin A. Nowell,32
43,LIB,Thomas Edward Oxford,3
43,REP,Debra Lehrmann,236
