precinct,asian,black,hispanic,others,white,total,pct_asian,pct_black,pct_hispanic,pct_others,pct_white
1,28,288,1956,22,1977,4271,0.66%,6.74%,45.80%,0.52%,46.29%
2,30,501,1432,0,1136,3061,0.98%,16.37%,46.78%,0.00%,37.11%
3,15,146,1744,2,923,2830,0.53%,5.16%,61.63%,0.07%,32.61%
5,4,73,173,20,618,888,0.45%,8.22%,19.48%,2.25%,69.59%
7,2,57,216,12,449,736,0.27%,7.74%,29.35%,1.63%,61.01%
8,1,19,229,4,306,559,0.18%,3.40%,40.97%,0.72%,54.74%
9,11,176,957,2,517,1663,0.66%,10.58%,57.55%,0.12%,31.09%
10,1,15,460,4,403,883,0.11%,1.70%,52.10%,0.45%,45.64%
11,0,9,73,10,230,322,0.00%,2.80%,22.67%,3.11%,71.43%
12,6,10,131,0,133,280,2.14%,3.57%,46.79%,0.00%,47.50%
13,2,3,158,11,331,505,0.40%,0.59%,31.29%,2.18%,65.54%
14,1,3,55,14,95,168,0.60%,1.79%,32.74%,8.33%,56.55%
15,1,3,163,4,291,462,0.22%,0.65%,35.28%,0.87%,62.99%
4/6,20,88,2150,17,750,3025,0.66%,2.91%,71.07%,0.56%,24.79%
