precinct,party,candidate,votes
1,,Write-in,0
1,DEM,Joseph R Biden,426
1,GRN,Howie Hawkins,4
1,LIB,Jo Jorgensen,13
1,REP,Donald J Trump,1316
10,,Write-in,0
10,DEM,Joseph R Biden,74
10,GRN,Howie Hawkins,0
10,LIB,Jo Jorgensen,2
10,REP,Donald J Trump,313
11,,Write-in,0
11,DEM,Joseph R Biden,15
11,GRN,Howie Hawkins,1
11,LIB,Jo Jorgensen,0
11,REP,Donald J Trump,165
12,,Write-in,0
12,DEM,Joseph R Biden,32
12,GRN,Howie Hawkins,0
12,LIB,Jo Jorgensen,1
12,REP,Donald J Trump,105
13,,Write-in,0
13,DEM,Joseph R Biden,43
13,GRN,Howie Hawkins,0
13,LIB,Jo Jorgensen,2
13,REP,Donald J Trump,229
14,,Write-in,0
14,DEM,Joseph R Biden,8
14,GRN,Howie Hawkins,0
14,LIB,Jo Jorgensen,1
14,REP,Donald J Trump,59
15,,Write-in,0
15,DEM,Joseph R Biden,32
15,GRN,Howie Hawkins,0
15,LIB,Jo Jorgensen,1
15,REP,Donald J Trump,241
2,,Write-in,0
2,DEM,Joseph R Biden,340
2,GRN,Howie Hawkins,3
2,LIB,Jo Jorgensen,11
2,REP,Donald J Trump,695
3,,Write-in,0
3,DEM,Joseph R Biden,278
3,GRN,Howie Hawkins,3
3,LIB,Jo Jorgensen,8
3,REP,Donald J Trump,719
4/6,,Write-in,0
4/6,DEM,Joseph R Biden,203
4/6,GRN,Howie Hawkins,2
4/6,LIB,Jo Jorgensen,5
4/6,REP,Donald J Trump,556
5,,Write-in,0
5,DEM,Joseph R Biden,86
5,GRN,Howie Hawkins,1
5,LIB,Jo Jorgensen,2
5,REP,Donald J Trump,366
7,,Write-in,0
7,DEM,Joseph R Biden,61
7,GRN,Howie Hawkins,0
7,LIB,Jo Jorgensen,5
7,REP,Donald J Trump,266
8,,Write-in,0
8,DEM,Joseph R Biden,52
8,GRN,Howie Hawkins,1
8,LIB,Jo Jorgensen,2
8,REP,Donald J Trump,209
9,,Write-in,0
9,DEM,Joseph R Biden,298
9,GRN,Howie Hawkins,0
9,LIB,Jo Jorgensen,4
9,REP,Donald J Trump,388
