precinct,party,candidate,votes
1,DEM,BRENDA DAVIS,350
1,REP,KEVEN M. ELLIS,814
2,DEM,BRENDA DAVIS,771
2,REP,KEVEN M. ELLIS,1910
3,DEM,BRENDA DAVIS,704
3,REP,KEVEN M. ELLIS,1697
4,DEM,BRENDA DAVIS,543
4,REP,KEVEN M. ELLIS,1948
5,DEM,BRENDA DAVIS,593
5,REP,KEVEN M. ELLIS,2081
6,DEM,BRENDA DAVIS,288
6,REP,KEVEN M. ELLIS,1513
7,DEM,BRENDA DAVIS,430
7,REP,KEVEN M. ELLIS,1888
8,DEM,BRENDA DAVIS,835
8,REP,KEVEN M. ELLIS,2242
9,DEM,BRENDA DAVIS,855
9,REP,KEVEN M. ELLIS,2066
10,DEM,BRENDA DAVIS,961
10,REP,KEVEN M. ELLIS,1637
11,DEM,BRENDA DAVIS,703
11,REP,KEVEN M. ELLIS,2136
12,DEM,BRENDA DAVIS,393
12,REP,KEVEN M. ELLIS,2853
13,DEM,BRENDA DAVIS,449
13,REP,KEVEN M. ELLIS,1459
14,DEM,BRENDA DAVIS,483
14,REP,KEVEN M. ELLIS,2666
15,DEM,BRENDA DAVIS,274
15,REP,KEVEN M. ELLIS,565
16,DEM,BRENDA DAVIS,484
16,REP,KEVEN M. ELLIS,2313
17,DEM,BRENDA DAVIS,248
17,REP,KEVEN M. ELLIS,275
18,DEM,BRENDA DAVIS,1159
18,REP,KEVEN M. ELLIS,1094
19,DEM,BRENDA DAVIS,1653
19,REP,KEVEN M. ELLIS,300
20,DEM,BRENDA DAVIS,1114
20,REP,KEVEN M. ELLIS,425
21,DEM,BRENDA DAVIS,1078
21,REP,KEVEN M. ELLIS,473
