Precinct,Rep,Mod,Dem,Total,Rep Share,Mod Share,Dem Share,Winning Party,Party Strength
1,1143,10,201,1354,0.8441654357,0.0073855244,0.1484490399,Rep,3
2,608,10,60,678,0.8967551622,0.0147492625,0.0884955752,Rep,3
3,388,16,573,977,0.3971340839,0.0163766633,0.5864892528,Dem,2
4,984,14,178,1176,0.8367346939,0.0119047619,0.1513605442,Rep,3
5,927,9,276,1212,0.7648514851,0.0074257426,0.2277227723,Rep,3
6,732,11,448,1191,0.6146095718,0.0092359362,0.3761544920,Rep,2
7,676,10,145,831,0.8134777377,0.0120336943,0.1744885680,Rep,3
8,337,4,68,409,0.8239608802,0.0097799511,0.1662591687,Rep,3
9,260,0,48,308,0.8441558442,0.0000000000,0.1558441558,Rep,3
10,1084,14,129,1227,0.8834555827,0.0114099430,0.1051344743,Rep,3
11,171,4,30,205,0.8341463415,0.0195121951,0.1463414634,Rep,3
12,506,9,179,694,0.7291066282,0.0129682997,0.2579250720,Rep,3
14,1086,29,265,1380,0.7869565217,0.0210144928,0.1920289855,Rep,3
15,385,3,78,466,0.8261802575,0.0064377682,0.1673819742,Rep,3
