precinct,party,candidate,votes
1,DEM,Elizabeth Davis Frizell,206
1,REP,Bert Richardson,1140
10,DEM,Elizabeth Davis Frizell,128
10,REP,Bert Richardson,1090
11,DEM,Elizabeth Davis Frizell,31
11,REP,Bert Richardson,174
12,DEM,Elizabeth Davis Frizell,186
12,REP,Bert Richardson,504
14,DEM,Elizabeth Davis Frizell,281
14,REP,Bert Richardson,1097
15,DEM,Elizabeth Davis Frizell,77
15,REP,Bert Richardson,386
2,DEM,Elizabeth Davis Frizell,63
2,REP,Bert Richardson,611
3,DEM,Elizabeth Davis Frizell,575
3,REP,Bert Richardson,390
4,DEM,Elizabeth Davis Frizell,179
4,REP,Bert Richardson,985
5,DEM,Elizabeth Davis Frizell,278
5,REP,Bert Richardson,928
6,DEM,Elizabeth Davis Frizell,456
6,REP,Bert Richardson,731
7,DEM,Elizabeth Davis Frizell,153
7,REP,Bert Richardson,672
8,DEM,Elizabeth Davis Frizell,67
8,REP,Bert Richardson,342
9,DEM,Elizabeth Davis Frizell,46
9,REP,Bert Richardson,262
