precinct,party,candidate,votes
1,DEM,Chrysta Castañeda,193
1,GRN,"Katija ""Kat"" Gruene",7
1,LIB,Matt Sterett,16
1,REP,"James ""Jim"" Wright",1134
10,DEM,Chrysta Castañeda,121
10,GRN,"Katija ""Kat"" Gruene",3
10,LIB,Matt Sterett,28
10,REP,"James ""Jim"" Wright",1076
11,DEM,Chrysta Castañeda,29
11,GRN,"Katija ""Kat"" Gruene",0
11,LIB,Matt Sterett,7
11,REP,"James ""Jim"" Wright",171
12,DEM,Chrysta Castañeda,176
12,GRN,"Katija ""Kat"" Gruene",6
12,LIB,Matt Sterett,15
12,REP,"James ""Jim"" Wright",497
14,DEM,Chrysta Castañeda,242
14,GRN,"Katija ""Kat"" Gruene",25
14,LIB,Matt Sterett,39
14,REP,"James ""Jim"" Wright",1073
15,DEM,Chrysta Castañeda,76
15,GRN,"Katija ""Kat"" Gruene",1
15,LIB,Matt Sterett,5
15,REP,"James ""Jim"" Wright",381
2,DEM,Chrysta Castañeda,58
2,GRN,"Katija ""Kat"" Gruene",1
2,LIB,Matt Sterett,14
2,REP,"James ""Jim"" Wright",599
3,DEM,Chrysta Castañeda,556
3,GRN,"Katija ""Kat"" Gruene",13
3,LIB,Matt Sterett,21
3,REP,"James ""Jim"" Wright",392
4,DEM,Chrysta Castañeda,173
4,GRN,"Katija ""Kat"" Gruene",5
4,LIB,Matt Sterett,23
4,REP,"James ""Jim"" Wright",972
5,DEM,Chrysta Castañeda,273
5,GRN,"Katija ""Kat"" Gruene",7
5,LIB,Matt Sterett,10
5,REP,"James ""Jim"" Wright",920
6,DEM,Chrysta Castañeda,444
6,GRN,"Katija ""Kat"" Gruene",8
6,LIB,Matt Sterett,18
6,REP,"James ""Jim"" Wright",714
7,DEM,Chrysta Castañeda,134
7,GRN,"Katija ""Kat"" Gruene",9
7,LIB,Matt Sterett,11
7,REP,"James ""Jim"" Wright",677
8,DEM,Chrysta Castañeda,64
8,GRN,"Katija ""Kat"" Gruene",1
8,LIB,Matt Sterett,6
8,REP,"James ""Jim"" Wright",337
9,DEM,Chrysta Castañeda,50
9,GRN,"Katija ""Kat"" Gruene",0
9,LIB,Matt Sterett,0
9,REP,"James ""Jim"" Wright",259
