precinct,party,candidate,votes
102,,Against,196
102,,For,486
102,,Over Votes,0
102,,Under Votes,61
104,,Against,106
104,,For,271
104,,Over Votes,0
104,,Under Votes,36
106,,Against,493
106,,For,1260
106,,Over Votes,0
106,,Under Votes,158
110,,Against,46
110,,For,85
110,,Over Votes,0
110,,Under Votes,7
112,,Against,5
112,,For,19
112,,Over Votes,0
112,,Under Votes,10
115,,Against,7
115,,For,10
115,,Over Votes,0
115,,Under Votes,4
116,,Against,0
116,,For,5
116,,Over Votes,0
116,,Under Votes,0
119,,Against,9
119,,For,21
119,,Over Votes,0
119,,Under Votes,3
120,,Against,4
120,,For,4
120,,Over Votes,0
120,,Under Votes,0
123,,Against,0
123,,For,1
123,,Over Votes,0
123,,Under Votes,0
124,,Against,0
124,,For,1
124,,Over Votes,0
124,,Under Votes,1
125,,Against,6
125,,For,9
125,,Over Votes,0
125,,Under Votes,7
127,,Against,1
127,,For,8
127,,Over Votes,0
127,,Under Votes,0
201,,Against,67
201,,For,122
201,,Over Votes,0
201,,Under Votes,12
202,,Against,74
202,,For,274
202,,Over Votes,0
202,,Under Votes,36
203,,Against,42
203,,For,136
203,,Over Votes,0
203,,Under Votes,30
204,,Against,148
204,,For,417
204,,Over Votes,0
204,,Under Votes,64
205,,Against,0
205,,For,2
205,,Over Votes,0
205,,Under Votes,0
207,,Against,92
207,,For,289
207,,Over Votes,0
207,,Under Votes,34
208,,Against,76
208,,For,234
208,,Over Votes,0
208,,Under Votes,34
209,,Against,54
209,,For,160
209,,Over Votes,0
209,,Under Votes,27
210,,Against,123
210,,For,293
210,,Over Votes,0
210,,Under Votes,28
211,,Against,20
211,,For,50
211,,Over Votes,0
211,,Under Votes,6
212,,Against,15
212,,For,64
212,,Over Votes,0
212,,Under Votes,6
214,,Against,1
214,,For,7
214,,Over Votes,0
214,,Under Votes,1
215,,Against,137
215,,For,380
215,,Over Votes,0
215,,Under Votes,70
216,,Against,39
216,,For,87
216,,Over Votes,0
216,,Under Votes,16
217,,Against,15
217,,For,42
217,,Over Votes,0
217,,Under Votes,10
218,,Against,9
218,,For,19
218,,Over Votes,0
218,,Under Votes,2
219,,Against,17
219,,For,33
219,,Over Votes,0
219,,Under Votes,1
220,,Against,8
220,,For,22
220,,Over Votes,0
220,,Under Votes,1
221,,Against,5
221,,For,10
221,,Over Votes,0
221,,Under Votes,2
222,,Against,0
222,,For,0
222,,Over Votes,0
222,,Under Votes,0
223,,Against,32
223,,For,108
223,,Over Votes,0
223,,Under Votes,7
224,,Against,13
224,,For,38
224,,Over Votes,0
224,,Under Votes,6
225,,Against,3
225,,For,6
225,,Over Votes,0
225,,Under Votes,2
226,,Against,0
226,,For,7
226,,Over Votes,0
226,,Under Votes,1
227,,Against,9
227,,For,20
227,,Over Votes,0
227,,Under Votes,5
229,,Against,11
229,,For,38
229,,Over Votes,0
229,,Under Votes,7
230,,Against,14
230,,For,53
230,,Over Votes,0
230,,Under Votes,7
231,,Against,37
231,,For,42
231,,Over Votes,0
231,,Under Votes,9
232,,Against,0
232,,For,0
232,,Over Votes,0
232,,Under Votes,0
410,,Against,6
410,,For,26
410,,Over Votes,0
410,,Under Votes,4
