precinct,party,candidate,votes
303,,Mark E. Davis,544
303,,Over Votes,0
303,,Under Votes,222
304,,Mark E. Davis,1534
304,,Over Votes,0
304,,Under Votes,680
305,,Mark E. Davis,867
305,,Over Votes,0
305,,Under Votes,385
306,,Mark E. Davis,477
306,,Over Votes,0
306,,Under Votes,249
308,,Mark E. Davis,825
308,,Over Votes,0
308,,Under Votes,321
309,,Mark E. Davis,1252
309,,Over Votes,0
309,,Under Votes,616
310,,Mark E. Davis,596
310,,Over Votes,0
310,,Under Votes,246
311,,Mark E. Davis,766
311,,Over Votes,0
311,,Under Votes,324
401,,Mark E. Davis,2
401,,Over Votes,0
401,,Under Votes,0
404,,Mark E. Davis,1370
404,,Over Votes,0
404,,Under Votes,698
409,,Mark E. Davis,83
409,,Over Votes,0
409,,Under Votes,51
