precinct,party,candidate,votes
306,,Kara Latimer,228
306,,Mark Allen,531
306,,Over Votes,0
306,,Summer-Marie Brown,228
306,,Terry Hinze,140
306,,Tim Woliver,179
306,,Under Votes,250
307,,Kara Latimer,302
307,,Mark Allen,498
307,,Over Votes,0
307,,Summer-Marie Brown,405
307,,Terry Hinze,225
307,,Tim Woliver,567
307,,Under Votes,379
311,,Kara Latimer,31
311,,Mark Allen,53
311,,Over Votes,0
311,,Summer-Marie Brown,53
311,,Terry Hinze,35
311,,Tim Woliver,23
311,,Under Votes,46
405,,Kara Latimer,55
405,,Mark Allen,58
405,,Over Votes,0
405,,Summer-Marie Brown,39
405,,Terry Hinze,75
405,,Tim Woliver,28
405,,Under Votes,62
406,,Kara Latimer,0
406,,Mark Allen,1
406,,Over Votes,0
406,,Summer-Marie Brown,1
406,,Terry Hinze,1
406,,Tim Woliver,0
406,,Under Votes,4
409,,Kara Latimer,117
409,,Mark Allen,598
409,,Over Votes,0
409,,Summer-Marie Brown,225
409,,Terry Hinze,72
409,,Tim Woliver,88
409,,Under Votes,147
412,,Kara Latimer,228
412,,Mark Allen,613
412,,Over Votes,0
412,,Summer-Marie Brown,263
412,,Terry Hinze,116
412,,Tim Woliver,132
412,,Under Votes,277
414,,Kara Latimer,212
414,,Mark Allen,327
414,,Over Votes,0
414,,Summer-Marie Brown,253
414,,Terry Hinze,87
414,,Tim Woliver,119
414,,Under Votes,211
415,,Kara Latimer,350
415,,Mark Allen,508
415,,Over Votes,0
415,,Summer-Marie Brown,384
415,,Terry Hinze,282
415,,Tim Woliver,339
415,,Under Votes,410
