precinct,party,candidate,votes
101,DEM,Janet T. Dudding,14
101,LIB,V. Alonzo Echevarria-Garza,3
101,REP,Glenn Hegar,125
102,DEM,Janet T. Dudding,3
102,LIB,V. Alonzo Echevarria-Garza,3
102,REP,Glenn Hegar,30
103,DEM,Janet T. Dudding,48
103,LIB,V. Alonzo Echevarria-Garza,8
103,REP,Glenn Hegar,66
104,DEM,Janet T. Dudding,55
104,LIB,V. Alonzo Echevarria-Garza,5
104,REP,Glenn Hegar,107
105,DEM,Janet T. Dudding,19
105,LIB,V. Alonzo Echevarria-Garza,4
105,REP,Glenn Hegar,51
108,DEM,Janet T. Dudding,2
108,LIB,V. Alonzo Echevarria-Garza,2
108,REP,Glenn Hegar,15
110,DEM,Janet T. Dudding,15
110,LIB,V. Alonzo Echevarria-Garza,3
110,REP,Glenn Hegar,200
111,DEM,Janet T. Dudding,34
111,LIB,V. Alonzo Echevarria-Garza,4
111,REP,Glenn Hegar,210
112,DEM,Janet T. Dudding,18
112,LIB,V. Alonzo Echevarria-Garza,3
112,REP,Glenn Hegar,304
202,DEM,Janet T. Dudding,25
202,LIB,V. Alonzo Echevarria-Garza,9
202,REP,Glenn Hegar,31
203,DEM,Janet T. Dudding,48
203,LIB,V. Alonzo Echevarria-Garza,14
203,REP,Glenn Hegar,58
204,DEM,Janet T. Dudding,50
204,LIB,V. Alonzo Echevarria-Garza,7
204,REP,Glenn Hegar,119
205,DEM,Janet T. Dudding,25
205,LIB,V. Alonzo Echevarria-Garza,2
205,REP,Glenn Hegar,38
206,DEM,Janet T. Dudding,1
206,LIB,V. Alonzo Echevarria-Garza,1
206,REP,Glenn Hegar,8
213,DEM,Janet T. Dudding,10
213,LIB,V. Alonzo Echevarria-Garza,2
213,REP,Glenn Hegar,94
214,DEM,Janet T. Dudding,38
214,LIB,V. Alonzo Echevarria-Garza,16
214,REP,Glenn Hegar,232
215,DEM,Janet T. Dudding,26
215,LIB,V. Alonzo Echevarria-Garza,2
215,REP,Glenn Hegar,117
304,DEM,Janet T. Dudding,83
304,LIB,V. Alonzo Echevarria-Garza,12
304,REP,Glenn Hegar,302
305,DEM,Janet T. Dudding,61
305,LIB,V. Alonzo Echevarria-Garza,4
305,REP,Glenn Hegar,503
306,DEM,Janet T. Dudding,15
306,LIB,V. Alonzo Echevarria-Garza,0
306,REP,Glenn Hegar,16
307,DEM,Janet T. Dudding,19
307,LIB,V. Alonzo Echevarria-Garza,5
307,REP,Glenn Hegar,89
316,DEM,Janet T. Dudding,74
316,LIB,V. Alonzo Echevarria-Garza,12
316,REP,Glenn Hegar,380
317,DEM,Janet T. Dudding,8
317,LIB,V. Alonzo Echevarria-Garza,0
317,REP,Glenn Hegar,59
318,DEM,Janet T. Dudding,56
318,LIB,V. Alonzo Echevarria-Garza,11
318,REP,Glenn Hegar,479
406,DEM,Janet T. Dudding,52
406,LIB,V. Alonzo Echevarria-Garza,9
406,REP,Glenn Hegar,111
407,DEM,Janet T. Dudding,117
407,LIB,V. Alonzo Echevarria-Garza,23
407,REP,Glenn Hegar,513
408,DEM,Janet T. Dudding,56
408,LIB,V. Alonzo Echevarria-Garza,8
408,REP,Glenn Hegar,277
409,DEM,Janet T. Dudding,58
409,LIB,V. Alonzo Echevarria-Garza,7
409,REP,Glenn Hegar,204
419,DEM,Janet T. Dudding,9
419,LIB,V. Alonzo Echevarria-Garza,0
419,REP,Glenn Hegar,87
420,DEM,Janet T. Dudding,11
420,LIB,V. Alonzo Echevarria-Garza,0
420,REP,Glenn Hegar,207
