precinct,asian,black,hispanic,others,white,total,pct_asian,pct_black,pct_hispanic,pct_others,pct_white
1,6,12,197,30,1245,1490,0.40%,0.81%,13.22%,2.01%,83.56%
4,0,6,34,3,204,247,0.00%,2.43%,13.77%,1.21%,82.59%
5,4,1,7,4,134,150,2.67%,0.67%,4.67%,2.67%,89.33%
7,15,13,323,92,1743,2186,0.69%,0.59%,14.78%,4.21%,79.73%
9,2,2,19,4,228,255,0.78%,0.78%,7.45%,1.57%,89.41%
12,2,5,8,12,198,225,0.89%,2.22%,3.56%,5.33%,88.00%
14,0,1,21,3,215,240,0.00%,0.42%,8.75%,1.25%,89.58%
15,2,3,32,21,252,310,0.65%,0.97%,10.32%,6.77%,81.29%
17,1,3,62,15,211,292,0.34%,1.03%,21.23%,5.14%,72.26%
22,12,11,103,30,1181,1337,0.90%,0.82%,7.70%,2.24%,88.33%
23,19,11,239,27,1194,1490,1.28%,0.74%,16.04%,1.81%,80.13%
