precinct,party,candidate,votes
1,REP,Earl Stover III,814
10,REP,Earl Stover III,810
11,REP,Earl Stover III,597
12,REP,Earl Stover III,621
13,REP,Earl Stover III,1588
14,REP,Earl Stover III,930
15,REP,Earl Stover III,1263
16,REP,Earl Stover III,1480
17,REP,Earl Stover III,801
18,REP,Earl Stover III,3960
19,REP,Earl Stover III,676
2,REP,Earl Stover III,3197
3,REP,Earl Stover III,413
4,REP,Earl Stover III,562
5,REP,Earl Stover III,418
6,REP,Earl Stover III,3171
7,REP,Earl Stover III,516
8,REP,Earl Stover III,574
9,REP,Earl Stover III,1496
