precinct,party,candidate,votes
1008,,Over Votes,0
1008,,Under Votes,26
1008,DEM,Mary E. Williams,219
1008,REP,Briscoe Cain,753
103,,Over Votes,0
103,,Under Votes,126
103,DEM,Mary E. Williams,2212
103,REP,Briscoe Cain,2077
12,,Over Votes,0
12,,Under Votes,22
12,DEM,Mary E. Williams,209
12,REP,Briscoe Cain,200
13,,Over Votes,0
13,,Under Votes,88
13,DEM,Mary E. Williams,671
13,REP,Briscoe Cain,1091
249,,Over Votes,0
249,,Under Votes,82
249,DEM,Mary E. Williams,639
249,REP,Briscoe Cain,1077
250,,Over Votes,0
250,,Under Votes,22
250,DEM,Mary E. Williams,465
250,REP,Briscoe Cain,37
28,,Over Votes,0
28,,Under Votes,104
28,DEM,Mary E. Williams,1219
28,REP,Briscoe Cain,1278
352,,Over Votes,0
352,,Under Votes,148
352,DEM,Mary E. Williams,937
352,REP,Briscoe Cain,2254
386,,Over Votes,0
386,,Under Votes,76
386,DEM,Mary E. Williams,738
386,REP,Briscoe Cain,1613
387,,Over Votes,0
387,,Under Votes,116
387,DEM,Mary E. Williams,972
387,REP,Briscoe Cain,2064
414,,Over Votes,0
414,,Under Votes,76
414,DEM,Mary E. Williams,703
414,REP,Briscoe Cain,1598
420,,Over Votes,1
420,,Under Votes,121
420,DEM,Mary E. Williams,735
420,REP,Briscoe Cain,3028
456,,Over Votes,0
456,,Under Votes,107
456,DEM,Mary E. Williams,1193
456,REP,Briscoe Cain,1251
470,,Over Votes,0
470,,Under Votes,34
470,DEM,Mary E. Williams,250
470,REP,Briscoe Cain,678
471,,Over Votes,1
471,,Under Votes,71
471,DEM,Mary E. Williams,420
471,REP,Briscoe Cain,1357
502,,Over Votes,0
502,,Under Votes,66
502,DEM,Mary E. Williams,385
502,REP,Briscoe Cain,1498
51,,Over Votes,0
51,,Under Votes,53
51,DEM,Mary E. Williams,336
51,REP,Briscoe Cain,901
531,,Over Votes,0
531,,Under Votes,75
531,DEM,Mary E. Williams,413
531,REP,Briscoe Cain,1260
532,,Over Votes,1
532,,Under Votes,13
532,DEM,Mary E. Williams,233
532,REP,Briscoe Cain,436
533,,Over Votes,0
533,,Under Votes,28
533,DEM,Mary E. Williams,279
533,REP,Briscoe Cain,307
534,,Over Votes,0
534,,Under Votes,134
534,DEM,Mary E. Williams,827
534,REP,Briscoe Cain,1903
561,,Over Votes,0
561,,Under Votes,98
561,DEM,Mary E. Williams,758
561,REP,Briscoe Cain,1205
604,,Over Votes,0
604,,Under Votes,94
604,DEM,Mary E. Williams,429
604,REP,Briscoe Cain,2179
63,,Over Votes,0
63,,Under Votes,42
63,DEM,Mary E. Williams,260
63,REP,Briscoe Cain,1018
662,,Over Votes,0
662,,Under Votes,110
662,DEM,Mary E. Williams,763
662,REP,Briscoe Cain,2397
665,,Over Votes,0
665,,Under Votes,75
665,DEM,Mary E. Williams,458
665,REP,Briscoe Cain,1571
673,,Over Votes,0
673,,Under Votes,75
673,DEM,Mary E. Williams,482
673,REP,Briscoe Cain,1656
679,,Over Votes,0
679,,Under Votes,111
679,DEM,Mary E. Williams,921
679,REP,Briscoe Cain,1793
682,,Over Votes,0
682,,Under Votes,122
682,DEM,Mary E. Williams,934
682,REP,Briscoe Cain,2317
700,,Over Votes,0
700,,Under Votes,44
700,DEM,Mary E. Williams,185
700,REP,Briscoe Cain,979
704,,Over Votes,0
704,,Under Votes,82
704,DEM,Mary E. Williams,575
704,REP,Briscoe Cain,1890
716,,Over Votes,0
716,,Under Votes,71
716,DEM,Mary E. Williams,592
716,REP,Briscoe Cain,1261
739,,Over Votes,0
739,,Under Votes,75
739,DEM,Mary E. Williams,913
739,REP,Briscoe Cain,667
740,,Over Votes,0
740,,Under Votes,32
740,DEM,Mary E. Williams,252
740,REP,Briscoe Cain,293
97,,Over Votes,0
97,,Under Votes,112
97,DEM,Mary E. Williams,992
97,REP,Briscoe Cain,2944
