precinct,party,candidate,votes
1,,Write-in,0
1,DEM,Joseph R Biden,24
1,GRN,Howie Hawkins,0
1,LIB,Jo Jorgensen,1
1,REP,Donald J Trump,240
10,,Write-in,0
10,DEM,Joseph R Biden,14
10,GRN,Howie Hawkins,0
10,LIB,Jo Jorgensen,0
10,REP,Donald J Trump,96
2,,Write-in,0
2,DEM,Joseph R Biden,83
2,GRN,Howie Hawkins,2
2,LIB,Jo Jorgensen,2
2,REP,Donald J Trump,390
3,,Write-in,0
3,DEM,Joseph R Biden,70
3,GRN,Howie Hawkins,0
3,LIB,Jo Jorgensen,3
3,REP,Donald J Trump,303
4,,Write-in,0
4,DEM,Joseph R Biden,38
4,GRN,Howie Hawkins,3
4,LIB,Jo Jorgensen,2
4,REP,Donald J Trump,143
5,,Write-in,0
5,DEM,Joseph R Biden,53
5,GRN,Howie Hawkins,1
5,LIB,Jo Jorgensen,5
5,REP,Donald J Trump,174
6,,Write-in,0
6,DEM,Joseph R Biden,28
6,GRN,Howie Hawkins,0
6,LIB,Jo Jorgensen,1
6,REP,Donald J Trump,196
7,,Write-in,0
7,DEM,Joseph R Biden,5
7,GRN,Howie Hawkins,0
7,LIB,Jo Jorgensen,0
7,REP,Donald J Trump,64
8,,Write-in,0
8,DEM,Joseph R Biden,21
8,GRN,Howie Hawkins,0
8,LIB,Jo Jorgensen,0
8,REP,Donald J Trump,72
9,,Write-in,0
9,DEM,Joseph R Biden,17
9,GRN,Howie Hawkins,0
9,LIB,Jo Jorgensen,1
9,REP,Donald J Trump,162
