precinct,party,candidate,votes
101,DEM,Mike Collier,41
101,LIB,Shanna Steele,6
101,REP,Dan Patrick,225
201,DEM,Mike Collier,39
201,LIB,Shanna Steele,10
201,REP,Dan Patrick,216
202,DEM,Mike Collier,0
202,LIB,Shanna Steele,0
202,REP,Dan Patrick,19
301,DEM,Mike Collier,59
301,LIB,Shanna Steele,10
301,REP,Dan Patrick,308
302,DEM,Mike Collier,1
302,LIB,Shanna Steele,2
302,REP,Dan Patrick,19
303,DEM,Mike Collier,8
303,LIB,Shanna Steele,0
303,REP,Dan Patrick,58
401,DEM,Mike Collier,23
401,LIB,Shanna Steele,12
401,REP,Dan Patrick,186
402,DEM,Mike Collier,21
402,LIB,Shanna Steele,2
402,REP,Dan Patrick,66
