Precinct,Rep,Mod,Dem,Total,Rep Share,Mod Share,Dem Share,Winning Party,Party Strength
1,247,5,63,315,0.7841269841,0.0158730159,0.2000000000,Rep,3
2,199,5,29,233,0.8540772532,0.0214592275,0.1244635193,Rep,3
3,151,9,240,400,0.3775000000,0.0225000000,0.6000000000,Dem,2
4,724,16,201,941,0.7693942614,0.0170031881,0.2136025505,Rep,3
1A,813,10,113,936,0.8685897436,0.0106837607,0.1207264957,Rep,3
1M,805,15,232,1052,0.7652091255,0.0142585551,0.2205323194,Rep,3
1T,959,14,188,1161,0.8260120586,0.0120585702,0.1619293712,Rep,3
2E,1006,15,170,1191,0.8446683459,0.0125944584,0.1427371956,Rep,3
2M,233,5,44,282,0.8262411348,0.0177304965,0.1560283688,Rep,3
3B,1434,24,148,1606,0.8929016189,0.0149439601,0.0921544209,Rep,3
3C,942,14,182,1138,0.8277680141,0.0123022847,0.1599297012,Rep,3
3M,726,10,98,834,0.8705035971,0.0119904077,0.1175059952,Rep,3
3N,597,8,54,659,0.9059180577,0.0121396055,0.0819423369,Rep,3
4A,229,8,101,338,0.6775147929,0.0236686391,0.2988165680,Rep,3
4B,590,18,199,807,0.7311028501,0.0223048327,0.2465923172,Rep,3
4W,486,8,109,603,0.8059701493,0.0132669983,0.1807628524,Rep,3
1CR,1015,13,123,1151,0.8818418766,0.0112945265,0.1068635969,Rep,3
1MN,553,15,144,712,0.7766853933,0.0210674157,0.2022471910,Rep,3
1TC,1093,25,260,1378,0.7931785196,0.0181422351,0.1886792453,Rep,3
3CS,971,10,131,1112,0.8732014388,0.0089928058,0.1178057554,Rep,3
3NW,335,5,73,413,0.8111380145,0.0121065375,0.1767554479,Rep,3
3WS,576,16,91,683,0.8433382138,0.0234260615,0.1332357247,Rep,3
4LP,1198,16,242,1456,0.8228021978,0.0109890110,0.1662087912,Rep,3
4MS,394,8,200,602,0.6544850498,0.0132890365,0.3322259136,Rep,3
4SE,1741,33,283,2057,0.8463782207,0.0160427807,0.1375789985,Rep,3
2GBN,949,20,260,1229,0.7721724980,0.0162733930,0.2115541090,Rep,3
2GBS,806,14,161,981,0.8216106014,0.0142711519,0.1641182467,Rep,3
2PSN,854,18,198,1070,0.7981308411,0.0168224299,0.1850467290,Rep,3
2PSS,1145,17,251,1413,0.8103326256,0.0120311394,0.1776362350,Rep,3
4NLP,851,9,76,936,0.9091880342,0.0096153846,0.0811965812,Rep,3
