precinct,party,candidate,votes
1,,Over Votes,0
1,,Under Votes,4
1,DEM,Rochelle Mercedes Garza,67
1,LIB,Mark Ash,6
1,REP,Ken Paxton,243
1A,,Over Votes,0
1A,,Under Votes,5
1A,DEM,Rochelle Mercedes Garza,119
1A,LIB,Mark Ash,15
1A,REP,Ken Paxton,803
1CR,,Over Votes,0
1CR,,Under Votes,15
1CR,DEM,Rochelle Mercedes Garza,125
1CR,LIB,Mark Ash,26
1CR,REP,Ken Paxton,998
1M,,Over Votes,0
1M,,Under Votes,27
1M,DEM,Rochelle Mercedes Garza,239
1M,LIB,Mark Ash,24
1M,REP,Ken Paxton,789
1MN,,Over Votes,0
1MN,,Under Votes,9
1MN,DEM,Rochelle Mercedes Garza,148
1MN,LIB,Mark Ash,30
1MN,REP,Ken Paxton,533
1T,,Over Votes,0
1T,,Under Votes,19
1T,DEM,Rochelle Mercedes Garza,197
1T,LIB,Mark Ash,27
1T,REP,Ken Paxton,937
1TC,,Over Votes,0
1TC,,Under Votes,19
1TC,DEM,Rochelle Mercedes Garza,260
1TC,LIB,Mark Ash,48
1TC,REP,Ken Paxton,1072
2,,Over Votes,0
2,,Under Votes,0
2,DEM,Rochelle Mercedes Garza,29
2,LIB,Mark Ash,9
2,REP,Ken Paxton,197
2E,,Over Votes,0
2E,,Under Votes,8
2E,DEM,Rochelle Mercedes Garza,172
2E,LIB,Mark Ash,30
2E,REP,Ken Paxton,996
2GBN,,Over Votes,0
2GBN,,Under Votes,11
2GBN,DEM,Rochelle Mercedes Garza,270
2GBN,LIB,Mark Ash,37
2GBN,REP,Ken Paxton,925
2GBS,,Over Votes,0
2GBS,,Under Votes,15
2GBS,DEM,Rochelle Mercedes Garza,163
2GBS,LIB,Mark Ash,29
2GBS,REP,Ken Paxton,788
2M,,Over Votes,0
2M,,Under Votes,5
2M,DEM,Rochelle Mercedes Garza,46
2M,LIB,Mark Ash,10
2M,REP,Ken Paxton,227
2PSN,,Over Votes,0
2PSN,,Under Votes,7
2PSN,DEM,Rochelle Mercedes Garza,199
2PSN,LIB,Mark Ash,42
2PSN,REP,Ken Paxton,835
2PSS,,Over Votes,0
2PSS,,Under Votes,19
2PSS,DEM,Rochelle Mercedes Garza,256
2PSS,LIB,Mark Ash,40
2PSS,REP,Ken Paxton,1117
3,,Over Votes,0
3,,Under Votes,16
3,DEM,Rochelle Mercedes Garza,235
3,LIB,Mark Ash,12
3,REP,Ken Paxton,148
3B,,Over Votes,0
3B,,Under Votes,36
3B,DEM,Rochelle Mercedes Garza,156
3B,LIB,Mark Ash,38
3B,REP,Ken Paxton,1413
3C,,Over Votes,0
3C,,Under Votes,33
3C,DEM,Rochelle Mercedes Garza,185
3C,LIB,Mark Ash,22
3C,REP,Ken Paxton,930
3CS,,Over Votes,0
3CS,,Under Votes,21
3CS,DEM,Rochelle Mercedes Garza,133
3CS,LIB,Mark Ash,22
3CS,REP,Ken Paxton,959
3M,,Over Votes,0
3M,,Under Votes,12
3M,DEM,Rochelle Mercedes Garza,98
3M,LIB,Mark Ash,20
3M,REP,Ken Paxton,719
3N,,Over Votes,0
3N,,Under Votes,6
3N,DEM,Rochelle Mercedes Garza,56
3N,LIB,Mark Ash,16
3N,REP,Ken Paxton,588
3NW,,Over Votes,0
3NW,,Under Votes,5
3NW,DEM,Rochelle Mercedes Garza,77
3NW,LIB,Mark Ash,7
3NW,REP,Ken Paxton,330
3WS,,Over Votes,0
3WS,,Under Votes,14
3WS,DEM,Rochelle Mercedes Garza,93
3WS,LIB,Mark Ash,25
3WS,REP,Ken Paxton,563
4,,Over Votes,0
4,,Under Votes,26
4,DEM,Rochelle Mercedes Garza,202
4,LIB,Mark Ash,30
4,REP,Ken Paxton,706
4A,,Over Votes,0
4A,,Under Votes,4
4A,DEM,Rochelle Mercedes Garza,109
4A,LIB,Mark Ash,11
4A,REP,Ken Paxton,218
4B,,Over Votes,0
4B,,Under Votes,20
4B,DEM,Rochelle Mercedes Garza,207
4B,LIB,Mark Ash,31
4B,REP,Ken Paxton,568
4LP,,Over Votes,0
4LP,,Under Votes,21
4LP,DEM,Rochelle Mercedes Garza,240
4LP,LIB,Mark Ash,29
4LP,REP,Ken Paxton,1183
4MS,,Over Votes,0
4MS,,Under Votes,13
4MS,DEM,Rochelle Mercedes Garza,197
4MS,LIB,Mark Ash,8
4MS,REP,Ken Paxton,392
4NLP,,Over Votes,0
4NLP,,Under Votes,10
4NLP,DEM,Rochelle Mercedes Garza,76
4NLP,LIB,Mark Ash,20
4NLP,REP,Ken Paxton,840
4SE,,Over Votes,0
4SE,,Under Votes,27
4SE,DEM,Rochelle Mercedes Garza,294
4SE,LIB,Mark Ash,66
4SE,REP,Ken Paxton,1692
4W,,Over Votes,0
4W,,Under Votes,7
4W,DEM,Rochelle Mercedes Garza,113
4W,LIB,Mark Ash,14
4W,REP,Ken Paxton,476
