precinct,party,candidate,votes
10,,Over Votes,0
10,,Under Votes,23
10,DEM,Julie Oliver,286
10,LIB,Bill Kelsey,21
10,REP,Roger Williams,948
12,,Over Votes,0
12,,Under Votes,16
12,DEM,Julie Oliver,61
12,LIB,Bill Kelsey,12
12,REP,Roger Williams,505
13,,Over Votes,0
13,,Under Votes,43
13,DEM,Julie Oliver,264
13,LIB,Bill Kelsey,23
13,REP,Roger Williams,1511
14,,Over Votes,0
14,,Under Votes,11
14,DEM,Julie Oliver,85
14,LIB,Bill Kelsey,12
14,REP,Roger Williams,708
15,,Over Votes,1
15,,Under Votes,3
15,DEM,Julie Oliver,33
15,LIB,Bill Kelsey,5
15,REP,Roger Williams,248
16,,Over Votes,0
16,,Under Votes,6
16,DEM,Julie Oliver,37
16,LIB,Bill Kelsey,3
16,REP,Roger Williams,184
18,,Over Votes,0
18,,Under Votes,3
18,DEM,Julie Oliver,10
18,LIB,Bill Kelsey,1
18,REP,Roger Williams,120
19,,Over Votes,0
19,,Under Votes,4
19,DEM,Julie Oliver,45
19,LIB,Bill Kelsey,3
19,REP,Roger Williams,237
2,,Over Votes,0
2,,Under Votes,9
2,DEM,Julie Oliver,169
2,LIB,Bill Kelsey,15
2,REP,Roger Williams,475
20,,Over Votes,0
20,,Under Votes,7
20,DEM,Julie Oliver,94
20,LIB,Bill Kelsey,12
20,REP,Roger Williams,653
21,,Over Votes,0
21,,Under Votes,17
21,DEM,Julie Oliver,185
21,LIB,Bill Kelsey,12
21,REP,Roger Williams,1070
22,,Over Votes,0
22,,Under Votes,24
22,DEM,Julie Oliver,177
22,LIB,Bill Kelsey,21
22,REP,Roger Williams,924
23,,Over Votes,0
23,,Under Votes,3
23,DEM,Julie Oliver,67
23,LIB,Bill Kelsey,4
23,REP,Roger Williams,255
24,,Over Votes,0
24,,Under Votes,11
24,DEM,Julie Oliver,153
24,LIB,Bill Kelsey,5
24,REP,Roger Williams,589
27,,Over Votes,0
27,,Under Votes,8
27,DEM,Julie Oliver,72
27,LIB,Bill Kelsey,1
27,REP,Roger Williams,488
3,,Over Votes,2
3,,Under Votes,21
3,DEM,Julie Oliver,376
3,LIB,Bill Kelsey,10
3,REP,Roger Williams,358
4,,Over Votes,1
4,,Under Votes,41
4,DEM,Julie Oliver,318
4,LIB,Bill Kelsey,14
4,REP,Roger Williams,1144
5,,Over Votes,0
5,,Under Votes,4
5,DEM,Julie Oliver,41
5,LIB,Bill Kelsey,4
5,REP,Roger Williams,353
6,,Over Votes,0
6,,Under Votes,4
6,DEM,Julie Oliver,42
6,LIB,Bill Kelsey,4
6,REP,Roger Williams,251
7,,Over Votes,0
7,,Under Votes,5
7,DEM,Julie Oliver,58
7,LIB,Bill Kelsey,1
7,REP,Roger Williams,344
8,,Over Votes,0
8,,Under Votes,11
8,DEM,Julie Oliver,32
8,LIB,Bill Kelsey,2
8,REP,Roger Williams,197
9,,Over Votes,0
9,,Under Votes,6
9,DEM,Julie Oliver,76
9,LIB,Bill Kelsey,10
9,REP,Roger Williams,271
