precinct,party,candidate,votes
1,REP,Dustanna Hyde Rabe,2383
11,REP,Dustanna Hyde Rabe,460
12,REP,Dustanna Hyde Rabe,206
13,REP,Dustanna Hyde Rabe,575
14,REP,Dustanna Hyde Rabe,648
16,REP,Dustanna Hyde Rabe,746
17,REP,Dustanna Hyde Rabe,756
2,REP,Dustanna Hyde Rabe,1345
20,REP,Dustanna Hyde Rabe,397
23,REP,Dustanna Hyde Rabe,203
24,REP,Dustanna Hyde Rabe,513
25,REP,Dustanna Hyde Rabe,277
3,REP,Dustanna Hyde Rabe,1984
36,REP,Dustanna Hyde Rabe,618
4,REP,Dustanna Hyde Rabe,1920
5,REP,Dustanna Hyde Rabe,335
8,REP,Dustanna Hyde Rabe,176
