precinct,party,candidate,votes
1,REP,Ralph K. Burgess,2353
11,REP,Ralph K. Burgess,464
12,REP,Ralph K. Burgess,200
13,REP,Ralph K. Burgess,586
14,REP,Ralph K. Burgess,656
16,REP,Ralph K. Burgess,755
17,REP,Ralph K. Burgess,745
2,REP,Ralph K. Burgess,1298
20,REP,Ralph K. Burgess,400
23,REP,Ralph K. Burgess,210
24,REP,Ralph K. Burgess,503
25,REP,Ralph K. Burgess,279
3,REP,Ralph K. Burgess,1923
36,REP,Ralph K. Burgess,615
4,REP,Ralph K. Burgess,1892
5,REP,Ralph K. Burgess,338
8,REP,Ralph K. Burgess,176
