precinct,party,candidate,votes
101,REP,Keli M. Aiken,698
102,REP,Keli M. Aiken,738
103,REP,Keli M. Aiken,444
104,REP,Keli M. Aiken,584
105,REP,Keli M. Aiken,337
106,REP,Keli M. Aiken,823
107,REP,Keli M. Aiken,1461
108,REP,Keli M. Aiken,665
109,REP,Keli M. Aiken,748
210,REP,Keli M. Aiken,389
211,REP,Keli M. Aiken,372
212,REP,Keli M. Aiken,633
213,REP,Keli M. Aiken,617
214,REP,Keli M. Aiken,1946
215,REP,Keli M. Aiken,3775
216,REP,Keli M. Aiken,1400
217,REP,Keli M. Aiken,965
318,REP,Keli M. Aiken,435
319,REP,Keli M. Aiken,1104
320,REP,Keli M. Aiken,1239
321,REP,Keli M. Aiken,799
322,REP,Keli M. Aiken,570
323,REP,Keli M. Aiken,1688
324,REP,Keli M. Aiken,1174
325,REP,Keli M. Aiken,1616
426,REP,Keli M. Aiken,266
427,REP,Keli M. Aiken,1029
428,REP,Keli M. Aiken,838
429,REP,Keli M. Aiken,248
430,REP,Keli M. Aiken,299
431,REP,Keli M. Aiken,280
432,REP,Keli M. Aiken,496
433,REP,Keli M. Aiken,515
434,REP,Keli M. Aiken,846
