precinct,party,candidate,votes
11,,Over Votes,0
11,,Under Votes,12
11,DEM,Susan Hays,79
11,REP,Sid Miller,779
14,,Over Votes,0
14,,Under Votes,11
14,DEM,Susan Hays,92
14,REP,Sid Miller,905
21,,Over Votes,0
21,,Under Votes,25
21,DEM,Susan Hays,119
21,REP,Sid Miller,1584
23,,Over Votes,0
23,,Under Votes,6
23,DEM,Susan Hays,22
23,REP,Sid Miller,233
31,,Over Votes,0
31,,Under Votes,13
31,DEM,Susan Hays,58
31,REP,Sid Miller,773
33,,Over Votes,0
33,,Under Votes,2
33,DEM,Susan Hays,55
33,REP,Sid Miller,535
41,,Over Votes,0
41,,Under Votes,0
41,DEM,Susan Hays,3
41,REP,Sid Miller,38
42,,Over Votes,0
42,,Under Votes,20
42,DEM,Susan Hays,140
42,REP,Sid Miller,591
