precinct,party,candidate,votes
11,,Over Votes,0
11,,Under Votes,15
11,DEM,Amanda Reichek,78
11,REP,Rebeca Huddle,777
14,,Over Votes,0
14,,Under Votes,9
14,DEM,Amanda Reichek,98
14,REP,Rebeca Huddle,901
21,,Over Votes,0
21,,Under Votes,33
21,DEM,Amanda Reichek,117
21,REP,Rebeca Huddle,1578
23,,Over Votes,0
23,,Under Votes,11
23,DEM,Amanda Reichek,24
23,REP,Rebeca Huddle,226
31,,Over Votes,0
31,,Under Votes,15
31,DEM,Amanda Reichek,53
31,REP,Rebeca Huddle,776
33,,Over Votes,0
33,,Under Votes,6
33,DEM,Amanda Reichek,51
33,REP,Rebeca Huddle,535
41,,Over Votes,0
41,,Under Votes,0
41,DEM,Amanda Reichek,3
41,REP,Rebeca Huddle,38
42,,Over Votes,0
42,,Under Votes,20
42,DEM,Amanda Reichek,135
42,REP,Rebeca Huddle,596
