precinct,party,candidate,votes
9,,Phil Gray,11
9,DEM,"Ricardo ""Rick"" De La Fuente",56
9,REP,Michael Cloud,435
3,,Phil Gray,23
3,DEM,"Ricardo ""Rick"" De La Fuente",197
3,REP,Michael Cloud,1237
6,,Phil Gray,8
6,DEM,"Ricardo ""Rick"" De La Fuente",80
6,REP,Michael Cloud,303
7,,Phil Gray,0
7,DEM,"Ricardo ""Rick"" De La Fuente",16
7,REP,Michael Cloud,83
2,,Phil Gray,16
2,DEM,"Ricardo ""Rick"" De La Fuente",166
2,REP,Michael Cloud,1293
4,,Phil Gray,2
4,DEM,"Ricardo ""Rick"" De La Fuente",34
4,REP,Michael Cloud,207
8,,Phil Gray,6
8,DEM,"Ricardo ""Rick"" De La Fuente",37
8,REP,Michael Cloud,331
1,,Phil Gray,20
1,DEM,"Ricardo ""Rick"" De La Fuente",289
1,REP,Michael Cloud,995
5,,Phil Gray,1
5,DEM,"Ricardo ""Rick"" De La Fuente",47
5,REP,Michael Cloud,392
