precinct,party,candidate,votes
1,,Write-in,0
1,DEM,Joseph R Biden,9
1,GRN,Howie Hawkins,0
1,LIB,Jo Jorgensen,0
1,REP,Donald J Trump,29
10,,Write-in,0
10,DEM,Joseph R Biden,105
10,GRN,Howie Hawkins,0
10,LIB,Jo Jorgensen,6
10,REP,Donald J Trump,1126
11,,Write-in,1
11,DEM,Joseph R Biden,34
11,GRN,Howie Hawkins,1
11,LIB,Jo Jorgensen,1
11,REP,Donald J Trump,268
12,,Write-in,1
12,DEM,Joseph R Biden,63
12,GRN,Howie Hawkins,0
12,LIB,Jo Jorgensen,4
12,REP,Donald J Trump,351
13,,Write-in,0
13,DEM,Joseph R Biden,75
13,GRN,Howie Hawkins,0
13,LIB,Jo Jorgensen,2
13,REP,Donald J Trump,295
14,,Write-in,1
14,DEM,Joseph R Biden,288
14,GRN,Howie Hawkins,2
14,LIB,Jo Jorgensen,13
14,REP,Donald J Trump,1372
15,,Write-in,2
15,DEM,Joseph R Biden,191
15,GRN,Howie Hawkins,1
15,LIB,Jo Jorgensen,10
15,REP,Donald J Trump,1696
16,,Write-in,0
16,DEM,Joseph R Biden,9
16,GRN,Howie Hawkins,0
16,LIB,Jo Jorgensen,0
16,REP,Donald J Trump,189
17,,Write-in,1
17,DEM,Joseph R Biden,51
17,GRN,Howie Hawkins,0
17,LIB,Jo Jorgensen,12
17,REP,Donald J Trump,961
19,,Write-in,2
19,DEM,Joseph R Biden,302
19,GRN,Howie Hawkins,0
19,LIB,Jo Jorgensen,8
19,REP,Donald J Trump,1177
2,,Write-in,0
2,DEM,Joseph R Biden,44
2,GRN,Howie Hawkins,0
2,LIB,Jo Jorgensen,1
2,REP,Donald J Trump,488
20,,Write-in,1
20,DEM,Joseph R Biden,400
20,GRN,Howie Hawkins,0
20,LIB,Jo Jorgensen,5
20,REP,Donald J Trump,359
21,,Write-in,0
21,DEM,Joseph R Biden,350
21,GRN,Howie Hawkins,0
21,LIB,Jo Jorgensen,14
21,REP,Donald J Trump,624
3,,Write-in,1
3,DEM,Joseph R Biden,119
3,GRN,Howie Hawkins,0
3,LIB,Jo Jorgensen,4
3,REP,Donald J Trump,688
4,,Write-in,2
4,DEM,Joseph R Biden,64
4,GRN,Howie Hawkins,0
4,LIB,Jo Jorgensen,2
4,REP,Donald J Trump,458
5,,Write-in,0
5,DEM,Joseph R Biden,13
5,GRN,Howie Hawkins,0
5,LIB,Jo Jorgensen,0
5,REP,Donald J Trump,102
6,,Write-in,1
6,DEM,Joseph R Biden,238
6,GRN,Howie Hawkins,1
6,LIB,Jo Jorgensen,5
6,REP,Donald J Trump,513
7,,Write-in,0
7,DEM,Joseph R Biden,198
7,GRN,Howie Hawkins,0
7,LIB,Jo Jorgensen,5
7,REP,Donald J Trump,254
8,,Write-in,1
8,DEM,Joseph R Biden,276
8,GRN,Howie Hawkins,1
8,LIB,Jo Jorgensen,4
8,REP,Donald J Trump,324
9,,Write-in,5
9,DEM,Joseph R Biden,125
9,GRN,Howie Hawkins,1
9,LIB,Jo Jorgensen,9
9,REP,Donald J Trump,1268
