precinct,party,candidate,votes
1,,Write-in,0
1,DEM,"Mary ""MJ"" Hegar",10
1,GRN,David B. Collins,0
1,LIB,Kerry Douglas McKennon,0
1,REP,John Cornyn,28
10,,Write-in,1
10,DEM,"Mary ""MJ"" Hegar",105
10,GRN,David B. Collins,5
10,LIB,Kerry Douglas McKennon,13
10,REP,John Cornyn,1089
11,,Write-in,0
11,DEM,"Mary ""MJ"" Hegar",39
11,GRN,David B. Collins,0
11,LIB,Kerry Douglas McKennon,2
11,REP,John Cornyn,262
12,,Write-in,0
12,DEM,"Mary ""MJ"" Hegar",62
12,GRN,David B. Collins,1
12,LIB,Kerry Douglas McKennon,3
12,REP,John Cornyn,349
13,,Write-in,0
13,DEM,"Mary ""MJ"" Hegar",69
13,GRN,David B. Collins,2
13,LIB,Kerry Douglas McKennon,2
13,REP,John Cornyn,296
14,,Write-in,0
14,DEM,"Mary ""MJ"" Hegar",285
14,GRN,David B. Collins,5
14,LIB,Kerry Douglas McKennon,22
14,REP,John Cornyn,1338
15,,Write-in,0
15,DEM,"Mary ""MJ"" Hegar",193
15,GRN,David B. Collins,2
15,LIB,Kerry Douglas McKennon,18
15,REP,John Cornyn,1654
16,,Write-in,0
16,DEM,"Mary ""MJ"" Hegar",8
16,GRN,David B. Collins,0
16,LIB,Kerry Douglas McKennon,2
16,REP,John Cornyn,185
17,,Write-in,0
17,DEM,"Mary ""MJ"" Hegar",52
17,GRN,David B. Collins,1
17,LIB,Kerry Douglas McKennon,16
17,REP,John Cornyn,941
19,,Write-in,1
19,DEM,"Mary ""MJ"" Hegar",283
19,GRN,David B. Collins,5
19,LIB,Kerry Douglas McKennon,17
19,REP,John Cornyn,1161
2,,Write-in,0
2,DEM,"Mary ""MJ"" Hegar",44
2,GRN,David B. Collins,1
2,LIB,Kerry Douglas McKennon,10
2,REP,John Cornyn,473
20,,Write-in,0
20,DEM,"Mary ""MJ"" Hegar",375
20,GRN,David B. Collins,6
20,LIB,Kerry Douglas McKennon,9
20,REP,John Cornyn,361
21,,Write-in,1
21,DEM,"Mary ""MJ"" Hegar",322
21,GRN,David B. Collins,7
21,LIB,Kerry Douglas McKennon,18
21,REP,John Cornyn,622
3,,Write-in,0
3,DEM,"Mary ""MJ"" Hegar",120
3,GRN,David B. Collins,2
3,LIB,Kerry Douglas McKennon,7
3,REP,John Cornyn,678
4,,Write-in,0
4,DEM,"Mary ""MJ"" Hegar",64
4,GRN,David B. Collins,0
4,LIB,Kerry Douglas McKennon,2
4,REP,John Cornyn,455
5,,Write-in,0
5,DEM,"Mary ""MJ"" Hegar",13
5,GRN,David B. Collins,0
5,LIB,Kerry Douglas McKennon,1
5,REP,John Cornyn,100
6,,Write-in,0
6,DEM,"Mary ""MJ"" Hegar",226
6,GRN,David B. Collins,0
6,LIB,Kerry Douglas McKennon,7
6,REP,John Cornyn,510
7,,Write-in,0
7,DEM,"Mary ""MJ"" Hegar",185
7,GRN,David B. Collins,1
7,LIB,Kerry Douglas McKennon,3
7,REP,John Cornyn,257
8,,Write-in,0
8,DEM,"Mary ""MJ"" Hegar",268
8,GRN,David B. Collins,1
8,LIB,Kerry Douglas McKennon,7
8,REP,John Cornyn,317
9,,Write-in,1
9,DEM,"Mary ""MJ"" Hegar",128
9,GRN,David B. Collins,3
9,LIB,Kerry Douglas McKennon,21
9,REP,John Cornyn,1236
