precinct,party,candidate,votes
1,,Over Votes,0
1,,Under Votes,5
1,DEM,Erin A. Nowell,107
1,LIB,Thomas Edward Oxford,14
1,REP,Debra Lehrmann,164
2,,Over Votes,0
2,,Under Votes,16
2,DEM,Erin A. Nowell,76
2,LIB,Thomas Edward Oxford,8
2,REP,Debra Lehrmann,127
3,,Over Votes,0
3,,Under Votes,8
3,DEM,Erin A. Nowell,87
3,LIB,Thomas Edward Oxford,9
3,REP,Debra Lehrmann,147
4,,Over Votes,0
4,,Under Votes,1
4,DEM,Erin A. Nowell,32
4,LIB,Thomas Edward Oxford,2
4,REP,Debra Lehrmann,73
5,,Over Votes,0
5,,Under Votes,6
5,DEM,Erin A. Nowell,65
5,LIB,Thomas Edward Oxford,5
5,REP,Debra Lehrmann,102
