precinct,party,candidate,votes
1,DEM,Staci Williams,839
1,REP,Jeff Boyd,100
10,DEM,Staci Williams,260
10,REP,Jeff Boyd,63
100,DEM,Staci Williams,907
100,REP,Jeff Boyd,1218
101,DEM,Staci Williams,0
101,REP,Jeff Boyd,0
102,DEM,Staci Williams,23
102,REP,Jeff Boyd,92
103,DEM,Staci Williams,4
103,REP,Jeff Boyd,18
104,DEM,Staci Williams,7
104,REP,Jeff Boyd,45
105,DEM,Staci Williams,110
105,REP,Jeff Boyd,26
106,DEM,Staci Williams,9
106,REP,Jeff Boyd,13
107,DEM,Staci Williams,0
107,REP,Jeff Boyd,1
108,DEM,Staci Williams,39
108,REP,Jeff Boyd,316
109,DEM,Staci Williams,29
109,REP,Jeff Boyd,153
11,DEM,Staci Williams,166
11,REP,Jeff Boyd,36
12,DEM,Staci Williams,252
12,REP,Jeff Boyd,9
13,DEM,Staci Williams,186
13,REP,Jeff Boyd,10
14,DEM,Staci Williams,688
14,REP,Jeff Boyd,61
15,DEM,Staci Williams,569
15,REP,Jeff Boyd,97
16,DEM,Staci Williams,189
16,REP,Jeff Boyd,37
17,DEM,Staci Williams,1022
17,REP,Jeff Boyd,705
18,DEM,Staci Williams,818
18,REP,Jeff Boyd,25
19,DEM,Staci Williams,717
19,REP,Jeff Boyd,75
2,DEM,Staci Williams,462
2,REP,Jeff Boyd,105
20,DEM,Staci Williams,541
20,REP,Jeff Boyd,56
21,DEM,Staci Williams,61
21,REP,Jeff Boyd,101
22,DEM,Staci Williams,1682
22,REP,Jeff Boyd,1065
23,DEM,Staci Williams,1079
23,REP,Jeff Boyd,363
24,DEM,Staci Williams,79
24,REP,Jeff Boyd,289
25,DEM,Staci Williams,347
25,REP,Jeff Boyd,1235
26,DEM,Staci Williams,784
26,REP,Jeff Boyd,1121
27,DEM,Staci Williams,476
27,REP,Jeff Boyd,382
28,DEM,Staci Williams,378
28,REP,Jeff Boyd,200
29,DEM,Staci Williams,173
29,REP,Jeff Boyd,1274
3,DEM,Staci Williams,976
3,REP,Jeff Boyd,57
30,DEM,Staci Williams,79
30,REP,Jeff Boyd,738
31,DEM,Staci Williams,100
31,REP,Jeff Boyd,796
32,DEM,Staci Williams,34
32,REP,Jeff Boyd,123
33,DEM,Staci Williams,455
33,REP,Jeff Boyd,947
34,DEM,Staci Williams,972
34,REP,Jeff Boyd,51
35,DEM,Staci Williams,111
35,REP,Jeff Boyd,551
36,DEM,Staci Williams,216
36,REP,Jeff Boyd,829
37,DEM,Staci Williams,344
37,REP,Jeff Boyd,1319
38,DEM,Staci Williams,213
38,REP,Jeff Boyd,1274
39,DEM,Staci Williams,1035
39,REP,Jeff Boyd,45
4,DEM,Staci Williams,409
4,REP,Jeff Boyd,659
40,DEM,Staci Williams,335
40,REP,Jeff Boyd,1669
41,DEM,Staci Williams,25
41,REP,Jeff Boyd,80
42,DEM,Staci Williams,329
42,REP,Jeff Boyd,1305
43,DEM,Staci Williams,327
43,REP,Jeff Boyd,1202
44,DEM,Staci Williams,246
44,REP,Jeff Boyd,180
45,DEM,Staci Williams,425
45,REP,Jeff Boyd,230
46,DEM,Staci Williams,402
46,REP,Jeff Boyd,196
47,DEM,Staci Williams,482
47,REP,Jeff Boyd,249
48,DEM,Staci Williams,363
48,REP,Jeff Boyd,76
49,DEM,Staci Williams,158
49,REP,Jeff Boyd,73
5,DEM,Staci Williams,536
5,REP,Jeff Boyd,457
50,DEM,Staci Williams,986
50,REP,Jeff Boyd,249
51,DEM,Staci Williams,176
51,REP,Jeff Boyd,31
52,DEM,Staci Williams,246
52,REP,Jeff Boyd,17
53,DEM,Staci Williams,674
53,REP,Jeff Boyd,61
54,DEM,Staci Williams,258
54,REP,Jeff Boyd,12
55,DEM,Staci Williams,195
55,REP,Jeff Boyd,9
56,DEM,Staci Williams,434
56,REP,Jeff Boyd,1848
57,DEM,Staci Williams,390
57,REP,Jeff Boyd,13
58,DEM,Staci Williams,6
58,REP,Jeff Boyd,32
59,DEM,Staci Williams,541
59,REP,Jeff Boyd,13
6,DEM,Staci Williams,481
6,REP,Jeff Boyd,218
60,DEM,Staci Williams,439
60,REP,Jeff Boyd,1612
61,DEM,Staci Williams,401
61,REP,Jeff Boyd,615
62,DEM,Staci Williams,647
62,REP,Jeff Boyd,1206
63,DEM,Staci Williams,712
63,REP,Jeff Boyd,32
64,DEM,Staci Williams,376
64,REP,Jeff Boyd,100
65,DEM,Staci Williams,380
65,REP,Jeff Boyd,954
66,DEM,Staci Williams,235
66,REP,Jeff Boyd,767
67,DEM,Staci Williams,1115
67,REP,Jeff Boyd,139
68,DEM,Staci Williams,738
68,REP,Jeff Boyd,844
69,DEM,Staci Williams,506
69,REP,Jeff Boyd,1601
7,DEM,Staci Williams,519
7,REP,Jeff Boyd,331
70,DEM,Staci Williams,828
70,REP,Jeff Boyd,517
71,DEM,Staci Williams,9
71,REP,Jeff Boyd,55
72,DEM,Staci Williams,957
72,REP,Jeff Boyd,639
73,DEM,Staci Williams,577
73,REP,Jeff Boyd,1137
74,DEM,Staci Williams,282
74,REP,Jeff Boyd,1636
75,DEM,Staci Williams,353
75,REP,Jeff Boyd,62
76,DEM,Staci Williams,357
76,REP,Jeff Boyd,84
77,DEM,Staci Williams,672
77,REP,Jeff Boyd,51
78,DEM,Staci Williams,753
78,REP,Jeff Boyd,415
79,DEM,Staci Williams,606
79,REP,Jeff Boyd,848
8,DEM,Staci Williams,333
8,REP,Jeff Boyd,32
80,DEM,Staci Williams,5
80,REP,Jeff Boyd,2
81,DEM,Staci Williams,390
81,REP,Jeff Boyd,9
82,DEM,Staci Williams,891
82,REP,Jeff Boyd,523
83,DEM,Staci Williams,142
83,REP,Jeff Boyd,678
84,DEM,Staci Williams,633
84,REP,Jeff Boyd,33
85,DEM,Staci Williams,714
85,REP,Jeff Boyd,107
86,DEM,Staci Williams,403
86,REP,Jeff Boyd,382
87,DEM,Staci Williams,567
87,REP,Jeff Boyd,87
88,DEM,Staci Williams,496
88,REP,Jeff Boyd,224
89,DEM,Staci Williams,167
89,REP,Jeff Boyd,68
9,DEM,Staci Williams,418
9,REP,Jeff Boyd,2245
90,DEM,Staci Williams,45
90,REP,Jeff Boyd,70
91,DEM,Staci Williams,55
91,REP,Jeff Boyd,489
92,DEM,Staci Williams,290
92,REP,Jeff Boyd,595
93,DEM,Staci Williams,284
93,REP,Jeff Boyd,83
94,DEM,Staci Williams,491
94,REP,Jeff Boyd,1005
95,DEM,Staci Williams,140
95,REP,Jeff Boyd,237
96,DEM,Staci Williams,200
96,REP,Jeff Boyd,43
97,DEM,Staci Williams,0
97,REP,Jeff Boyd,0
98,DEM,Staci Williams,125
98,REP,Jeff Boyd,257
99,DEM,Staci Williams,293
99,REP,Jeff Boyd,101
