precinct,party,candidate,votes
1,,AGAINST,70
1,,FOR,113
1,,Over Votes,0
1,,Under Votes,40
10,,AGAINST,332
10,,FOR,497
10,,Over Votes,2
10,,Under Votes,171
12,,AGAINST,285
12,,FOR,542
12,,Over Votes,0
12,,Under Votes,150
13,,AGAINST,80
13,,FOR,92
13,,Over Votes,0
13,,Under Votes,53
15,,AGAINST,217
15,,FOR,343
15,,Over Votes,0
15,,Under Votes,116
16,,AGAINST,140
16,,FOR,169
16,,Over Votes,1
16,,Under Votes,96
20,,AGAINST,134
20,,FOR,184
20,,Over Votes,1
20,,Under Votes,50
22,,AGAINST,10
22,,FOR,30
22,,Over Votes,0
22,,Under Votes,8
7,,AGAINST,461
7,,FOR,825
7,,Over Votes,1
7,,Under Votes,251
9,,AGAINST,71
9,,FOR,87
9,,Over Votes,0
9,,Under Votes,41
