precinct,party,candidate,votes
19,,Over Votes,0
19,,Under Votes,9
19,DEM,Carlos (Coach) Gonzalez,43
19,REP,Renee Kirchoff Chapa,158
20,,Over Votes,0
20,,Under Votes,11
20,DEM,Carlos (Coach) Gonzalez,268
20,REP,Renee Kirchoff Chapa,94
3,,Over Votes,0
3,,Under Votes,19
3,DEM,Carlos (Coach) Gonzalez,184
3,REP,Renee Kirchoff Chapa,642
8,,Over Votes,1
8,,Under Votes,58
8,DEM,Carlos (Coach) Gonzalez,604
8,REP,Renee Kirchoff Chapa,1405
9,,Over Votes,0
9,,Under Votes,26
9,DEM,Carlos (Coach) Gonzalez,202
9,REP,Renee Kirchoff Chapa,119
