precinct,party,candidate,votes
1,,Over Votes,0
1,,Under Votes,15
1,DEM,Brandon Birmingham,138
1,REP,David Newell,76
10,,Over Votes,0
10,,Under Votes,86
10,DEM,Brandon Birmingham,637
10,REP,David Newell,336
11,,Over Votes,0
11,,Under Votes,70
11,DEM,Brandon Birmingham,240
11,REP,David Newell,178
12,,Over Votes,0
12,,Under Votes,57
12,DEM,Brandon Birmingham,564
12,REP,David Newell,481
13,,Over Votes,1
13,,Under Votes,15
13,DEM,Brandon Birmingham,146
13,REP,David Newell,71
14,,Over Votes,0
14,,Under Votes,8
14,DEM,Brandon Birmingham,46
14,REP,David Newell,75
15,,Over Votes,0
15,,Under Votes,76
15,DEM,Brandon Birmingham,436
15,REP,David Newell,381
16,,Over Votes,0
16,,Under Votes,33
16,DEM,Brandon Birmingham,268
16,REP,David Newell,123
17,,Over Votes,0
17,,Under Votes,58
17,DEM,Brandon Birmingham,470
17,REP,David Newell,376
18,,Over Votes,1
18,,Under Votes,27
18,DEM,Brandon Birmingham,97
18,REP,David Newell,112
19,,Over Votes,0
19,,Under Votes,11
19,DEM,Brandon Birmingham,36
19,REP,David Newell,163
2,,Over Votes,0
2,,Under Votes,15
2,DEM,Brandon Birmingham,87
2,REP,David Newell,259
20,,Over Votes,0
20,,Under Votes,16
20,DEM,Brandon Birmingham,254
20,REP,David Newell,103
22,,Over Votes,0
22,,Under Votes,103
22,DEM,Brandon Birmingham,509
22,REP,David Newell,318
3,,Over Votes,0
3,,Under Votes,34
3,DEM,Brandon Birmingham,169
3,REP,David Newell,642
4,,Over Votes,0
4,,Under Votes,80
4,DEM,Brandon Birmingham,332
4,REP,David Newell,336
5,,Over Votes,0
5,,Under Votes,12
5,DEM,Brandon Birmingham,81
5,REP,David Newell,59
6,,Over Votes,0
6,,Under Votes,61
6,DEM,Brandon Birmingham,305
6,REP,David Newell,208
7,,Over Votes,0
7,,Under Votes,80
7,DEM,Brandon Birmingham,610
7,REP,David Newell,869
8,,Over Votes,1
8,,Under Votes,113
8,DEM,Brandon Birmingham,495
8,REP,David Newell,1459
9,,Over Votes,0
9,,Under Votes,35
9,DEM,Brandon Birmingham,178
9,REP,David Newell,134
