precinct,party,candidate,votes
1,,Over Votes,0
1,,Under Votes,8
1,DEM,Filemon B. Vela,141
1,IND,Chris B. Royal,2
1,LIB,Anthony Cristo,2
1,REP,Rey Gonzalez,76
10,,Over Votes,6
10,,Under Votes,50
10,DEM,Filemon B. Vela,642
10,IND,Chris B. Royal,8
10,LIB,Anthony Cristo,11
10,REP,Rey Gonzalez,342
11,,Over Votes,2
11,,Under Votes,46
11,DEM,Filemon B. Vela,251
11,IND,Chris B. Royal,6
11,LIB,Anthony Cristo,6
11,REP,Rey Gonzalez,177
12,,Over Votes,1
12,,Under Votes,33
12,DEM,Filemon B. Vela,572
12,IND,Chris B. Royal,16
12,LIB,Anthony Cristo,16
12,REP,Rey Gonzalez,464
13,,Over Votes,0
13,,Under Votes,9
13,DEM,Filemon B. Vela,146
13,IND,Chris B. Royal,2
13,LIB,Anthony Cristo,2
13,REP,Rey Gonzalez,74
14,,Over Votes,0
14,,Under Votes,3
14,DEM,Filemon B. Vela,44
14,IND,Chris B. Royal,2
14,LIB,Anthony Cristo,2
14,REP,Rey Gonzalez,78
15,,Over Votes,0
15,,Under Votes,38
15,DEM,Filemon B. Vela,458
15,IND,Chris B. Royal,2
15,LIB,Anthony Cristo,10
15,REP,Rey Gonzalez,385
16,,Over Votes,0
16,,Under Votes,21
16,DEM,Filemon B. Vela,269
16,IND,Chris B. Royal,4
16,LIB,Anthony Cristo,5
16,REP,Rey Gonzalez,125
17,,Over Votes,1
17,,Under Votes,28
17,DEM,Filemon B. Vela,489
17,IND,Chris B. Royal,9
17,LIB,Anthony Cristo,13
17,REP,Rey Gonzalez,364
18,,Over Votes,1
18,,Under Votes,13
18,DEM,Filemon B. Vela,107
18,IND,Chris B. Royal,4
18,LIB,Anthony Cristo,3
18,REP,Rey Gonzalez,109
19,,Over Votes,0
19,,Under Votes,5
19,DEM,Filemon B. Vela,39
19,IND,Chris B. Royal,4
19,LIB,Anthony Cristo,0
19,REP,Rey Gonzalez,162
2,,Over Votes,0
2,,Under Votes,8
2,DEM,Filemon B. Vela,91
2,IND,Chris B. Royal,7
2,LIB,Anthony Cristo,6
2,REP,Rey Gonzalez,249
20,,Over Votes,1
20,,Under Votes,9
20,DEM,Filemon B. Vela,266
20,IND,Chris B. Royal,0
20,LIB,Anthony Cristo,5
20,REP,Rey Gonzalez,92
22,,Over Votes,2
22,,Under Votes,56
22,DEM,Filemon B. Vela,529
22,IND,Chris B. Royal,8
22,LIB,Anthony Cristo,10
22,REP,Rey Gonzalez,325
3,,Over Votes,0
3,,Under Votes,21
3,DEM,Filemon B. Vela,170
3,IND,Chris B. Royal,5
3,LIB,Anthony Cristo,7
3,REP,Rey Gonzalez,642
4,,Over Votes,2
4,,Under Votes,50
4,DEM,Filemon B. Vela,341
4,IND,Chris B. Royal,6
4,LIB,Anthony Cristo,14
4,REP,Rey Gonzalez,335
5,,Over Votes,0
5,,Under Votes,6
5,DEM,Filemon B. Vela,85
5,IND,Chris B. Royal,0
5,LIB,Anthony Cristo,3
5,REP,Rey Gonzalez,58
6,,Over Votes,2
6,,Under Votes,34
6,DEM,Filemon B. Vela,308
6,IND,Chris B. Royal,3
6,LIB,Anthony Cristo,8
6,REP,Rey Gonzalez,219
7,,Over Votes,0
7,,Under Votes,36
7,DEM,Filemon B. Vela,671
7,IND,Chris B. Royal,16
7,LIB,Anthony Cristo,16
7,REP,Rey Gonzalez,820
8,,Over Votes,1
8,,Under Votes,70
8,DEM,Filemon B. Vela,501
8,IND,Chris B. Royal,28
8,LIB,Anthony Cristo,19
8,REP,Rey Gonzalez,1449
9,,Over Votes,0
9,,Under Votes,22
9,DEM,Filemon B. Vela,181
9,IND,Chris B. Royal,4
9,LIB,Anthony Cristo,1
9,REP,Rey Gonzalez,139
