precinct,party,candidate,votes
1,DEM,Kathy Cheng,129
1,REP,Jane Bland,808
10,DEM,Kathy Cheng,574
10,REP,Jane Bland,1932
11,DEM,Kathy Cheng,491
11,REP,Jane Bland,2258
12,DEM,Kathy Cheng,383
12,REP,Jane Bland,1743
13,DEM,Kathy Cheng,246
13,REP,Jane Bland,1150
14,DEM,Kathy Cheng,38
14,REP,Jane Bland,310
15,DEM,Kathy Cheng,181
15,REP,Jane Bland,966
16,DEM,Kathy Cheng,80
16,REP,Jane Bland,322
17,DEM,Kathy Cheng,511
17,REP,Jane Bland,1549
18,DEM,Kathy Cheng,611
18,REP,Jane Bland,1917
19,DEM,Kathy Cheng,890
19,REP,Jane Bland,3418
2,DEM,Kathy Cheng,727
2,REP,Jane Bland,2998
20,DEM,Kathy Cheng,282
20,REP,Jane Bland,447
21,DEM,Kathy Cheng,167
21,REP,Jane Bland,1002
22,DEM,Kathy Cheng,695
22,REP,Jane Bland,1873
23,DEM,Kathy Cheng,236
23,REP,Jane Bland,1511
24,DEM,Kathy Cheng,168
24,REP,Jane Bland,852
25,DEM,Kathy Cheng,230
25,REP,Jane Bland,708
26,DEM,Kathy Cheng,146
26,REP,Jane Bland,1002
27,DEM,Kathy Cheng,211
27,REP,Jane Bland,1550
28,DEM,Kathy Cheng,254
28,REP,Jane Bland,1167
29,DEM,Kathy Cheng,144
29,REP,Jane Bland,729
3,DEM,Kathy Cheng,749
3,REP,Jane Bland,2484
30,DEM,Kathy Cheng,131
30,REP,Jane Bland,1021
31,DEM,Kathy Cheng,176
31,REP,Jane Bland,871
32,DEM,Kathy Cheng,494
32,REP,Jane Bland,1856
33,DEM,Kathy Cheng,143
33,REP,Jane Bland,769
34,DEM,Kathy Cheng,369
34,REP,Jane Bland,1158
35,DEM,Kathy Cheng,561
35,REP,Jane Bland,2445
36,DEM,Kathy Cheng,188
36,REP,Jane Bland,428
4,DEM,Kathy Cheng,1079
4,REP,Jane Bland,3252
5,DEM,Kathy Cheng,643
5,REP,Jane Bland,2414
6,DEM,Kathy Cheng,62
6,REP,Jane Bland,348
7,DEM,Kathy Cheng,1000
7,REP,Jane Bland,3769
8,DEM,Kathy Cheng,2106
8,REP,Jane Bland,3355
9,DEM,Kathy Cheng,95
9,REP,Jane Bland,691
