precinct,party,candidate,votes
1,,Write-in,0
1,DEM,Joseph R Biden,138
1,GRN,Howie Hawkins,5
1,LIB,Jo Jorgensen,6
1,REP,Donald J Trump,804
10,,Write-in,1
10,DEM,Joseph R Biden,600
10,GRN,Howie Hawkins,4
10,LIB,Jo Jorgensen,44
10,REP,Donald J Trump,1927
11,,Write-in,1
11,DEM,Joseph R Biden,555
11,GRN,Howie Hawkins,3
11,LIB,Jo Jorgensen,25
11,REP,Donald J Trump,2223
12,,Write-in,0
12,DEM,Joseph R Biden,420
12,GRN,Howie Hawkins,5
12,LIB,Jo Jorgensen,23
12,REP,Donald J Trump,1737
13,,Write-in,0
13,DEM,Joseph R Biden,266
13,GRN,Howie Hawkins,5
13,LIB,Jo Jorgensen,13
13,REP,Donald J Trump,1142
14,,Write-in,0
14,DEM,Joseph R Biden,42
14,GRN,Howie Hawkins,2
14,LIB,Jo Jorgensen,1
14,REP,Donald J Trump,309
15,,Write-in,0
15,DEM,Joseph R Biden,195
15,GRN,Howie Hawkins,3
15,LIB,Jo Jorgensen,19
15,REP,Donald J Trump,937
16,,Write-in,0
16,DEM,Joseph R Biden,79
16,GRN,Howie Hawkins,0
16,LIB,Jo Jorgensen,4
16,REP,Donald J Trump,327
17,,Write-in,0
17,DEM,Joseph R Biden,556
17,GRN,Howie Hawkins,5
17,LIB,Jo Jorgensen,27
17,REP,Donald J Trump,1553
18,,Write-in,0
18,DEM,Joseph R Biden,651
18,GRN,Howie Hawkins,6
18,LIB,Jo Jorgensen,28
18,REP,Donald J Trump,1911
19,,Write-in,0
19,DEM,Joseph R Biden,989
19,GRN,Howie Hawkins,10
19,LIB,Jo Jorgensen,44
19,REP,Donald J Trump,3366
2,,Write-in,1
2,DEM,Joseph R Biden,781
2,GRN,Howie Hawkins,7
2,LIB,Jo Jorgensen,51
2,REP,Donald J Trump,2979
20,,Write-in,0
20,DEM,Joseph R Biden,293
20,GRN,Howie Hawkins,4
20,LIB,Jo Jorgensen,13
20,REP,Donald J Trump,449
21,,Write-in,0
21,DEM,Joseph R Biden,189
21,GRN,Howie Hawkins,3
21,LIB,Jo Jorgensen,4
21,REP,Donald J Trump,994
22,,Write-in,0
22,DEM,Joseph R Biden,762
22,GRN,Howie Hawkins,6
22,LIB,Jo Jorgensen,36
22,REP,Donald J Trump,1850
23,,Write-in,0
23,DEM,Joseph R Biden,251
23,GRN,Howie Hawkins,2
23,LIB,Jo Jorgensen,14
23,REP,Donald J Trump,1520
24,,Write-in,0
24,DEM,Joseph R Biden,180
24,GRN,Howie Hawkins,0
24,LIB,Jo Jorgensen,11
24,REP,Donald J Trump,850
25,,Write-in,0
25,DEM,Joseph R Biden,229
25,GRN,Howie Hawkins,3
25,LIB,Jo Jorgensen,13
25,REP,Donald J Trump,724
26,,Write-in,0
26,DEM,Joseph R Biden,159
26,GRN,Howie Hawkins,0
26,LIB,Jo Jorgensen,8
26,REP,Donald J Trump,1014
27,,Write-in,0
27,DEM,Joseph R Biden,230
27,GRN,Howie Hawkins,2
27,LIB,Jo Jorgensen,17
27,REP,Donald J Trump,1551
28,,Write-in,0
28,DEM,Joseph R Biden,272
28,GRN,Howie Hawkins,3
28,LIB,Jo Jorgensen,14
28,REP,Donald J Trump,1166
29,,Write-in,0
29,DEM,Joseph R Biden,158
29,GRN,Howie Hawkins,4
29,LIB,Jo Jorgensen,10
29,REP,Donald J Trump,720
3,,Write-in,1
3,DEM,Joseph R Biden,813
3,GRN,Howie Hawkins,6
3,LIB,Jo Jorgensen,32
3,REP,Donald J Trump,2461
30,,Write-in,0
30,DEM,Joseph R Biden,143
30,GRN,Howie Hawkins,1
30,LIB,Jo Jorgensen,11
30,REP,Donald J Trump,1028
31,,Write-in,0
31,DEM,Joseph R Biden,189
31,GRN,Howie Hawkins,4
31,LIB,Jo Jorgensen,7
31,REP,Donald J Trump,873
32,,Write-in,0
32,DEM,Joseph R Biden,517
32,GRN,Howie Hawkins,7
32,LIB,Jo Jorgensen,18
32,REP,Donald J Trump,1862
33,,Write-in,0
33,DEM,Joseph R Biden,154
33,GRN,Howie Hawkins,1
33,LIB,Jo Jorgensen,14
33,REP,Donald J Trump,762
34,,Write-in,0
34,DEM,Joseph R Biden,411
34,GRN,Howie Hawkins,1
34,LIB,Jo Jorgensen,20
34,REP,Donald J Trump,1150
35,,Write-in,0
35,DEM,Joseph R Biden,631
35,GRN,Howie Hawkins,4
35,LIB,Jo Jorgensen,24
35,REP,Donald J Trump,2416
36,,Write-in,0
36,DEM,Joseph R Biden,195
36,GRN,Howie Hawkins,1
36,LIB,Jo Jorgensen,8
36,REP,Donald J Trump,438
4,,Write-in,2
4,DEM,Joseph R Biden,1182
4,GRN,Howie Hawkins,7
4,LIB,Jo Jorgensen,67
4,REP,Donald J Trump,3193
5,,Write-in,3
5,DEM,Joseph R Biden,712
5,GRN,Howie Hawkins,4
5,LIB,Jo Jorgensen,33
5,REP,Donald J Trump,2365
6,,Write-in,0
6,DEM,Joseph R Biden,70
6,GRN,Howie Hawkins,1
6,LIB,Jo Jorgensen,4
6,REP,Donald J Trump,338
7,,Write-in,3
7,DEM,Joseph R Biden,1116
7,GRN,Howie Hawkins,7
7,LIB,Jo Jorgensen,42
7,REP,Donald J Trump,3694
8,,Write-in,2
8,DEM,Joseph R Biden,2230
8,GRN,Howie Hawkins,16
8,LIB,Jo Jorgensen,64
8,REP,Donald J Trump,3305
9,,Write-in,0
9,DEM,Joseph R Biden,106
9,GRN,Howie Hawkins,0
9,LIB,Jo Jorgensen,2
9,REP,Donald J Trump,690
