precinct,party,candidate,votes
1,DEM,Nancy Kennedy,379
1,REP,Kristina Williams,819
10,DEM,Nancy Kennedy,181
10,REP,Kristina Williams,1210
11,DEM,Nancy Kennedy,250
11,REP,Kristina Williams,612
12,DEM,Nancy Kennedy,116
12,REP,Kristina Williams,832
13,DEM,Nancy Kennedy,810
13,REP,Kristina Williams,902
14,DEM,Nancy Kennedy,1066
14,REP,Kristina Williams,784
15,DEM,Nancy Kennedy,201
15,REP,Kristina Williams,1212
16,DEM,Nancy Kennedy,219
16,REP,Kristina Williams,1413
17,DEM,Nancy Kennedy,132
17,REP,Kristina Williams,894
18,DEM,Nancy Kennedy,239
18,REP,Kristina Williams,973
19,DEM,Nancy Kennedy,372
19,REP,Kristina Williams,893
2,DEM,Nancy Kennedy,122
2,REP,Kristina Williams,632
20,DEM,Nancy Kennedy,138
20,REP,Kristina Williams,564
21,DEM,Nancy Kennedy,208
21,REP,Kristina Williams,1041
22,DEM,Nancy Kennedy,101
22,REP,Kristina Williams,618
23,DEM,Nancy Kennedy,180
23,REP,Kristina Williams,606
24,DEM,Nancy Kennedy,179
24,REP,Kristina Williams,532
25,DEM,Nancy Kennedy,120
25,REP,Kristina Williams,266
26,DEM,Nancy Kennedy,357
26,REP,Kristina Williams,169
27,DEM,Nancy Kennedy,683
27,REP,Kristina Williams,1239
28,DEM,Nancy Kennedy,197
28,REP,Kristina Williams,684
29,DEM,Nancy Kennedy,1034
29,REP,Kristina Williams,598
3,DEM,Nancy Kennedy,597
3,REP,Kristina Williams,1209
30,DEM,Nancy Kennedy,184
30,REP,Kristina Williams,764
31,DEM,Nancy Kennedy,306
31,REP,Kristina Williams,363
32,DEM,Nancy Kennedy,417
32,REP,Kristina Williams,812
33,DEM,Nancy Kennedy,62
33,REP,Kristina Williams,65
34,DEM,Nancy Kennedy,568
34,REP,Kristina Williams,1081
35,DEM,Nancy Kennedy,882
35,REP,Kristina Williams,682
36,DEM,Nancy Kennedy,470
36,REP,Kristina Williams,849
37,DEM,Nancy Kennedy,516
37,REP,Kristina Williams,419
4,DEM,Nancy Kennedy,246
4,REP,Kristina Williams,948
5,DEM,Nancy Kennedy,441
5,REP,Kristina Williams,193
6,DEM,Nancy Kennedy,194
6,REP,Kristina Williams,989
7,DEM,Nancy Kennedy,854
7,REP,Kristina Williams,1101
8,DEM,Nancy Kennedy,297
8,REP,Kristina Williams,550
9,DEM,Nancy Kennedy,186
9,REP,Kristina Williams,811
