precinct,party,candidate,votes
1,DEM,Erin A. Nowell,381
1,LIB,Thomas Edward Oxford,19
1,REP,Debra Lehrmann,822
10,DEM,Erin A. Nowell,175
10,LIB,Thomas Edward Oxford,17
10,REP,Debra Lehrmann,1213
11,DEM,Erin A. Nowell,246
11,LIB,Thomas Edward Oxford,11
11,REP,Debra Lehrmann,618
12,DEM,Erin A. Nowell,109
12,LIB,Thomas Edward Oxford,19
12,REP,Debra Lehrmann,822
13,DEM,Erin A. Nowell,780
13,LIB,Thomas Edward Oxford,40
13,REP,Debra Lehrmann,901
14,DEM,Erin A. Nowell,1039
14,LIB,Thomas Edward Oxford,40
14,REP,Debra Lehrmann,773
15,DEM,Erin A. Nowell,202
15,LIB,Thomas Edward Oxford,21
15,REP,Debra Lehrmann,1198
16,DEM,Erin A. Nowell,207
16,LIB,Thomas Edward Oxford,16
16,REP,Debra Lehrmann,1412
17,DEM,Erin A. Nowell,127
17,LIB,Thomas Edward Oxford,9
17,REP,Debra Lehrmann,896
18,DEM,Erin A. Nowell,247
18,LIB,Thomas Edward Oxford,21
18,REP,Debra Lehrmann,954
19,DEM,Erin A. Nowell,348
19,LIB,Thomas Edward Oxford,27
19,REP,Debra Lehrmann,894
2,DEM,Erin A. Nowell,115
2,LIB,Thomas Edward Oxford,12
2,REP,Debra Lehrmann,638
20,DEM,Erin A. Nowell,130
20,LIB,Thomas Edward Oxford,13
20,REP,Debra Lehrmann,562
21,DEM,Erin A. Nowell,203
21,LIB,Thomas Edward Oxford,17
21,REP,Debra Lehrmann,1045
22,DEM,Erin A. Nowell,101
22,LIB,Thomas Edward Oxford,14
22,REP,Debra Lehrmann,614
23,DEM,Erin A. Nowell,173
23,LIB,Thomas Edward Oxford,12
23,REP,Debra Lehrmann,608
24,DEM,Erin A. Nowell,172
24,LIB,Thomas Edward Oxford,10
24,REP,Debra Lehrmann,535
25,DEM,Erin A. Nowell,116
25,LIB,Thomas Edward Oxford,10
25,REP,Debra Lehrmann,261
26,DEM,Erin A. Nowell,342
26,LIB,Thomas Edward Oxford,9
26,REP,Debra Lehrmann,172
27,DEM,Erin A. Nowell,661
27,LIB,Thomas Edward Oxford,47
27,REP,Debra Lehrmann,1226
28,DEM,Erin A. Nowell,198
28,LIB,Thomas Edward Oxford,11
28,REP,Debra Lehrmann,677
29,DEM,Erin A. Nowell,1018
29,LIB,Thomas Edward Oxford,33
29,REP,Debra Lehrmann,596
3,DEM,Erin A. Nowell,597
3,LIB,Thomas Edward Oxford,26
3,REP,Debra Lehrmann,1191
30,DEM,Erin A. Nowell,184
30,LIB,Thomas Edward Oxford,14
30,REP,Debra Lehrmann,752
31,DEM,Erin A. Nowell,291
31,LIB,Thomas Edward Oxford,14
31,REP,Debra Lehrmann,364
32,DEM,Erin A. Nowell,405
32,LIB,Thomas Edward Oxford,24
32,REP,Debra Lehrmann,799
33,DEM,Erin A. Nowell,63
33,LIB,Thomas Edward Oxford,4
33,REP,Debra Lehrmann,61
34,DEM,Erin A. Nowell,564
34,LIB,Thomas Edward Oxford,31
34,REP,Debra Lehrmann,1063
35,DEM,Erin A. Nowell,879
35,LIB,Thomas Edward Oxford,22
35,REP,Debra Lehrmann,667
36,DEM,Erin A. Nowell,464
36,LIB,Thomas Edward Oxford,26
36,REP,Debra Lehrmann,837
37,DEM,Erin A. Nowell,500
37,LIB,Thomas Edward Oxford,21
37,REP,Debra Lehrmann,417
4,DEM,Erin A. Nowell,240
4,LIB,Thomas Edward Oxford,13
4,REP,Debra Lehrmann,943
5,DEM,Erin A. Nowell,432
5,LIB,Thomas Edward Oxford,13
5,REP,Debra Lehrmann,188
6,DEM,Erin A. Nowell,198
6,LIB,Thomas Edward Oxford,22
6,REP,Debra Lehrmann,972
7,DEM,Erin A. Nowell,839
7,LIB,Thomas Edward Oxford,44
7,REP,Debra Lehrmann,1083
8,DEM,Erin A. Nowell,284
8,LIB,Thomas Edward Oxford,26
8,REP,Debra Lehrmann,537
9,DEM,Erin A. Nowell,183
9,LIB,Thomas Edward Oxford,20
9,REP,Debra Lehrmann,798
