precinct,party,candidate,votes
101,,Write-in,0
101,DEM,Joseph R Biden,13
101,GRN,Howie Hawkins,2
101,LIB,Jo Jorgensen,0
101,REP,Donald J Trump,133
201,,Write-in,0
201,DEM,Joseph R Biden,3
201,GRN,Howie Hawkins,0
201,LIB,Jo Jorgensen,0
201,REP,Donald J Trump,26
202,,Write-in,0
202,DEM,Joseph R Biden,7
202,GRN,Howie Hawkins,0
202,LIB,Jo Jorgensen,0
202,REP,Donald J Trump,70
301,,Write-in,0
301,DEM,Joseph R Biden,5
301,GRN,Howie Hawkins,0
301,LIB,Jo Jorgensen,0
301,REP,Donald J Trump,61
302,,Write-in,0
302,DEM,Joseph R Biden,1
302,GRN,Howie Hawkins,0
302,LIB,Jo Jorgensen,1
302,REP,Donald J Trump,33
401,,Write-in,0
401,DEM,Joseph R Biden,18
401,GRN,Howie Hawkins,1
401,LIB,Jo Jorgensen,0
401,REP,Donald J Trump,85
