precinct,party,candidate,votes
101,DEM,Chrysta Castaneda,10
101,GRN,"Katija ""Kat"" Gruene",1
101,LIB,Matt Sterett,0
101,REP,"James ""Jim"" Wright",127
201,DEM,Chrysta Castaneda,3
201,GRN,"Katija ""Kat"" Gruene",0
201,LIB,Matt Sterett,1
201,REP,"James ""Jim"" Wright",24
202,DEM,Chrysta Castaneda,8
202,GRN,"Katija ""Kat"" Gruene",0
202,LIB,Matt Sterett,1
202,REP,"James ""Jim"" Wright",63
301,DEM,Chrysta Castaneda,7
301,GRN,"Katija ""Kat"" Gruene",0
301,LIB,Matt Sterett,0
301,REP,"James ""Jim"" Wright",60
302,DEM,Chrysta Castaneda,1
302,GRN,"Katija ""Kat"" Gruene",0
302,LIB,Matt Sterett,1
302,REP,"James ""Jim"" Wright",33
401,DEM,Chrysta Castaneda,16
401,GRN,"Katija ""Kat"" Gruene",0
401,LIB,Matt Sterett,1
401,REP,"James ""Jim"" Wright",79
