precinct,party,candidate,votes
101,DEM,Brandon Birmingham,418
101,REP,David Newell,1774
107,DEM,Brandon Birmingham,117
107,REP,David Newell,624
109,DEM,Brandon Birmingham,196
109,REP,David Newell,952
113,DEM,Brandon Birmingham,298
113,REP,David Newell,954
118,DEM,Brandon Birmingham,108
118,REP,David Newell,229
119,DEM,Brandon Birmingham,440
119,REP,David Newell,1105
202,DEM,Brandon Birmingham,278
202,REP,David Newell,1513
211,DEM,Brandon Birmingham,264
211,REP,David Newell,663
215,DEM,Brandon Birmingham,449
215,REP,David Newell,1840
220,DEM,Brandon Birmingham,385
220,REP,David Newell,1709
303,DEM,Brandon Birmingham,131
303,REP,David Newell,645
308,DEM,Brandon Birmingham,119
308,REP,David Newell,323
312,DEM,Brandon Birmingham,755
312,REP,David Newell,1981
314,DEM,Brandon Birmingham,491
314,REP,David Newell,829
404,DEM,Brandon Birmingham,92
404,REP,David Newell,715
405,DEM,Brandon Birmingham,297
405,REP,David Newell,1056
406,DEM,Brandon Birmingham,451
406,REP,David Newell,1909
410,DEM,Brandon Birmingham,16
410,REP,David Newell,231
416,DEM,Brandon Birmingham,234
416,REP,David Newell,1058
417,DEM,Brandon Birmingham,261
417,REP,David Newell,1003
