precinct,party,candidate,votes
101,,Ricardo Turullols-Bonilla,0
101,DEM,"Mary ""MJ"" Hegar",428
101,GRN,David B. Collins,14
101,LIB,Kerry Douglas McKennon,32
101,REP,John Cornyn,1775
107,,Ricardo Turullols-Bonilla,1
107,DEM,"Mary ""MJ"" Hegar",127
107,GRN,David B. Collins,6
107,LIB,Kerry Douglas McKennon,14
107,REP,John Cornyn,616
109,,Ricardo Turullols-Bonilla,0
109,DEM,"Mary ""MJ"" Hegar",198
109,GRN,David B. Collins,4
109,LIB,Kerry Douglas McKennon,22
109,REP,John Cornyn,947
113,,Ricardo Turullols-Bonilla,0
113,DEM,"Mary ""MJ"" Hegar",315
113,GRN,David B. Collins,4
113,LIB,Kerry Douglas McKennon,15
113,REP,John Cornyn,951
118,,Ricardo Turullols-Bonilla,0
118,DEM,"Mary ""MJ"" Hegar",107
118,GRN,David B. Collins,1
118,LIB,Kerry Douglas McKennon,3
118,REP,John Cornyn,234
119,,Ricardo Turullols-Bonilla,0
119,DEM,"Mary ""MJ"" Hegar",458
119,GRN,David B. Collins,13
119,LIB,Kerry Douglas McKennon,29
119,REP,John Cornyn,1112
202,,Ricardo Turullols-Bonilla,0
202,DEM,"Mary ""MJ"" Hegar",285
202,GRN,David B. Collins,5
202,LIB,Kerry Douglas McKennon,31
202,REP,John Cornyn,1503
211,,Ricardo Turullols-Bonilla,0
211,DEM,"Mary ""MJ"" Hegar",276
211,GRN,David B. Collins,5
211,LIB,Kerry Douglas McKennon,29
211,REP,John Cornyn,639
215,,Ricardo Turullols-Bonilla,0
215,DEM,"Mary ""MJ"" Hegar",446
215,GRN,David B. Collins,12
215,LIB,Kerry Douglas McKennon,47
215,REP,John Cornyn,1823
220,,Ricardo Turullols-Bonilla,0
220,DEM,"Mary ""MJ"" Hegar",406
220,GRN,David B. Collins,5
220,LIB,Kerry Douglas McKennon,22
220,REP,John Cornyn,1707
303,,Ricardo Turullols-Bonilla,0
303,DEM,"Mary ""MJ"" Hegar",140
303,GRN,David B. Collins,2
303,LIB,Kerry Douglas McKennon,11
303,REP,John Cornyn,637
308,,Ricardo Turullols-Bonilla,0
308,DEM,"Mary ""MJ"" Hegar",115
308,GRN,David B. Collins,2
308,LIB,Kerry Douglas McKennon,4
308,REP,John Cornyn,332
312,,Ricardo Turullols-Bonilla,0
312,DEM,"Mary ""MJ"" Hegar",783
312,GRN,David B. Collins,13
312,LIB,Kerry Douglas McKennon,57
312,REP,John Cornyn,1948
314,,Ricardo Turullols-Bonilla,0
314,DEM,"Mary ""MJ"" Hegar",487
314,GRN,David B. Collins,15
314,LIB,Kerry Douglas McKennon,28
314,REP,John Cornyn,823
404,,Ricardo Turullols-Bonilla,0
404,DEM,"Mary ""MJ"" Hegar",101
404,GRN,David B. Collins,4
404,LIB,Kerry Douglas McKennon,9
404,REP,John Cornyn,718
405,,Ricardo Turullols-Bonilla,0
405,DEM,"Mary ""MJ"" Hegar",306
405,GRN,David B. Collins,5
405,LIB,Kerry Douglas McKennon,16
405,REP,John Cornyn,1056
406,,Ricardo Turullols-Bonilla,0
406,DEM,"Mary ""MJ"" Hegar",452
406,GRN,David B. Collins,9
406,LIB,Kerry Douglas McKennon,36
406,REP,John Cornyn,1913
410,,Ricardo Turullols-Bonilla,0
410,DEM,"Mary ""MJ"" Hegar",18
410,GRN,David B. Collins,1
410,LIB,Kerry Douglas McKennon,2
410,REP,John Cornyn,230
416,,Ricardo Turullols-Bonilla,0
416,DEM,"Mary ""MJ"" Hegar",236
416,GRN,David B. Collins,5
416,LIB,Kerry Douglas McKennon,17
416,REP,John Cornyn,1053
417,,Ricardo Turullols-Bonilla,0
417,DEM,"Mary ""MJ"" Hegar",262
417,GRN,David B. Collins,3
417,LIB,Kerry Douglas McKennon,22
417,REP,John Cornyn,1005
