precinct,party,candidate,votes
11,DEM,Amy Clark Meachum,524
11,LIB,Mark Ash,40
11,REP,Nathan Hecht,681
12,DEM,Amy Clark Meachum,324
12,LIB,Mark Ash,25
12,REP,Nathan Hecht,550
13,DEM,Amy Clark Meachum,453
13,LIB,Mark Ash,15
13,REP,Nathan Hecht,352
14,DEM,Amy Clark Meachum,156
14,LIB,Mark Ash,2
14,REP,Nathan Hecht,110
21,DEM,Amy Clark Meachum,132
21,LIB,Mark Ash,4
21,REP,Nathan Hecht,41
22,DEM,Amy Clark Meachum,255
22,LIB,Mark Ash,18
22,REP,Nathan Hecht,239
23,DEM,Amy Clark Meachum,396
23,LIB,Mark Ash,20
23,REP,Nathan Hecht,251
24,DEM,Amy Clark Meachum,381
24,LIB,Mark Ash,19
24,REP,Nathan Hecht,310
31,DEM,Amy Clark Meachum,356
31,LIB,Mark Ash,20
31,REP,Nathan Hecht,509
32,DEM,Amy Clark Meachum,348
32,LIB,Mark Ash,17
32,REP,Nathan Hecht,317
33,DEM,Amy Clark Meachum,151
33,LIB,Mark Ash,7
33,REP,Nathan Hecht,302
34,DEM,Amy Clark Meachum,126
34,LIB,Mark Ash,6
34,REP,Nathan Hecht,253
35,DEM,Amy Clark Meachum,265
35,LIB,Mark Ash,12
35,REP,Nathan Hecht,388
41,DEM,Amy Clark Meachum,181
41,LIB,Mark Ash,3
41,REP,Nathan Hecht,80
42,DEM,Amy Clark Meachum,287
42,LIB,Mark Ash,13
42,REP,Nathan Hecht,115
43,DEM,Amy Clark Meachum,462
43,LIB,Mark Ash,26
43,REP,Nathan Hecht,362
44,DEM,Amy Clark Meachum,178
44,LIB,Mark Ash,10
44,REP,Nathan Hecht,100
45,DEM,Amy Clark Meachum,309
45,LIB,Mark Ash,12
45,REP,Nathan Hecht,115
