precinct,party,candidate,votes
1A3B,DEM,Kathy Cheng,128
1A3B,REP,Jane Bland,459
1A5A,DEM,Kathy Cheng,328
1A5A,REP,Jane Bland,488
1B,DEM,Kathy Cheng,11
1B,REP,Jane Bland,142
1C,DEM,Kathy Cheng,28
1C,REP,Jane Bland,239
1D,DEM,Kathy Cheng,79
1D,REP,Jane Bland,283
1E,DEM,Kathy Cheng,72
1E,REP,Jane Bland,480
1E7C,DEM,Kathy Cheng,144
1E7C,REP,Jane Bland,514
1F,DEM,Kathy Cheng,45
1F,REP,Jane Bland,516
1G,DEM,Kathy Cheng,31
1G,REP,Jane Bland,353
1H,DEM,Kathy Cheng,42
1H,REP,Jane Bland,413
1I,DEM,Kathy Cheng,6
1I,REP,Jane Bland,84
2A1A,DEM,Kathy Cheng,417
2A1A,REP,Jane Bland,196
2B2A,DEM,Kathy Cheng,355
2B2A,REP,Jane Bland,382
2C3A,DEM,Kathy Cheng,376
2C3A,REP,Jane Bland,406
2D,DEM,Kathy Cheng,85
2D,REP,Jane Bland,356
2E,DEM,Kathy Cheng,58
2E,REP,Jane Bland,365
2F,DEM,Kathy Cheng,16
2F,REP,Jane Bland,137
2G,DEM,Kathy Cheng,72
2G,REP,Jane Bland,412
3C7G,DEM,Kathy Cheng,559
3C7G,REP,Jane Bland,1267
3D,DEM,Kathy Cheng,58
3D,REP,Jane Bland,519
3E,DEM,Kathy Cheng,64
3E,REP,Jane Bland,836
3F,DEM,Kathy Cheng,48
3F,REP,Jane Bland,381
3G,DEM,Kathy Cheng,48
3G,REP,Jane Bland,354
3H3C,DEM,Kathy Cheng,123
3H3C,REP,Jane Bland,349
3I,DEM,Kathy Cheng,105
3I,REP,Jane Bland,838
4A6E,DEM,Kathy Cheng,261
4A6E,REP,Jane Bland,713
4B,DEM,Kathy Cheng,126
4B,REP,Jane Bland,894
4C,DEM,Kathy Cheng,37
4C,REP,Jane Bland,289
4D,DEM,Kathy Cheng,60
4D,REP,Jane Bland,910
4E,DEM,Kathy Cheng,82
4E,REP,Jane Bland,646
4F,DEM,Kathy Cheng,163
4F,REP,Jane Bland,1087
4G,DEM,Kathy Cheng,178
4G,REP,Jane Bland,1194
