precinct,party,candidate,votes
1A3B,DEM,Gisela D. Triana,119
1A3B,LIB,Tom Oxford,11
1A3B,REP,Brett Busby,449
1A5A,DEM,Gisela D. Triana,327
1A5A,LIB,Tom Oxford,21
1A5A,REP,Brett Busby,458
1B,DEM,Gisela D. Triana,10
1B,LIB,Tom Oxford,1
1B,REP,Brett Busby,139
1C,DEM,Gisela D. Triana,26
1C,LIB,Tom Oxford,6
1C,REP,Brett Busby,234
1D,DEM,Gisela D. Triana,74
1D,LIB,Tom Oxford,7
1D,REP,Brett Busby,276
1E,DEM,Gisela D. Triana,67
1E,LIB,Tom Oxford,13
1E,REP,Brett Busby,469
1E7C,DEM,Gisela D. Triana,134
1E7C,LIB,Tom Oxford,12
1E7C,REP,Brett Busby,503
1F,DEM,Gisela D. Triana,46
1F,LIB,Tom Oxford,8
1F,REP,Brett Busby,507
1G,DEM,Gisela D. Triana,32
1G,LIB,Tom Oxford,5
1G,REP,Brett Busby,347
1H,DEM,Gisela D. Triana,40
1H,LIB,Tom Oxford,7
1H,REP,Brett Busby,404
1I,DEM,Gisela D. Triana,6
1I,LIB,Tom Oxford,1
1I,REP,Brett Busby,83
2A1A,DEM,Gisela D. Triana,402
2A1A,LIB,Tom Oxford,12
2A1A,REP,Brett Busby,187
2B2A,DEM,Gisela D. Triana,351
2B2A,LIB,Tom Oxford,19
2B2A,REP,Brett Busby,366
2C3A,DEM,Gisela D. Triana,373
2C3A,LIB,Tom Oxford,20
2C3A,REP,Brett Busby,388
2D,DEM,Gisela D. Triana,82
2D,LIB,Tom Oxford,3
2D,REP,Brett Busby,347
2E,DEM,Gisela D. Triana,51
2E,LIB,Tom Oxford,10
2E,REP,Brett Busby,355
2F,DEM,Gisela D. Triana,14
2F,LIB,Tom Oxford,3
2F,REP,Brett Busby,136
2G,DEM,Gisela D. Triana,69
2G,LIB,Tom Oxford,6
2G,REP,Brett Busby,407
3C7G,DEM,Gisela D. Triana,543
3C7G,LIB,Tom Oxford,48
3C7G,REP,Brett Busby,1225
3D,DEM,Gisela D. Triana,55
3D,LIB,Tom Oxford,6
3D,REP,Brett Busby,510
3E,DEM,Gisela D. Triana,59
3E,LIB,Tom Oxford,15
3E,REP,Brett Busby,819
3F,DEM,Gisela D. Triana,44
3F,LIB,Tom Oxford,5
3F,REP,Brett Busby,379
3G,DEM,Gisela D. Triana,49
3G,LIB,Tom Oxford,9
3G,REP,Brett Busby,345
3H3C,DEM,Gisela D. Triana,124
3H3C,LIB,Tom Oxford,6
3H3C,REP,Brett Busby,335
3I,DEM,Gisela D. Triana,99
3I,LIB,Tom Oxford,19
3I,REP,Brett Busby,815
4A6E,DEM,Gisela D. Triana,253
4A6E,LIB,Tom Oxford,21
4A6E,REP,Brett Busby,690
4B,DEM,Gisela D. Triana,123
4B,LIB,Tom Oxford,19
4B,REP,Brett Busby,873
4C,DEM,Gisela D. Triana,33
4C,LIB,Tom Oxford,4
4C,REP,Brett Busby,287
4D,DEM,Gisela D. Triana,64
4D,LIB,Tom Oxford,13
4D,REP,Brett Busby,881
4E,DEM,Gisela D. Triana,74
4E,LIB,Tom Oxford,10
4E,REP,Brett Busby,641
4F,DEM,Gisela D. Triana,159
4F,LIB,Tom Oxford,29
4F,REP,Brett Busby,1062
4G,DEM,Gisela D. Triana,172
4G,LIB,Tom Oxford,24
4G,REP,Brett Busby,1175
