precinct,party,candidate,votes
1,DEM,Janet T. Dudding,28
1,LIB,V. Alonzo Echevarria-Garza,9
1,REP,Glenn Hegar,287
10,DEM,Janet T. Dudding,19
10,LIB,V. Alonzo Echevarria-Garza,7
10,REP,Glenn Hegar,154
11,DEM,Janet T. Dudding,24
11,LIB,V. Alonzo Echevarria-Garza,3
11,REP,Glenn Hegar,321
12,DEM,Janet T. Dudding,3
12,LIB,V. Alonzo Echevarria-Garza,0
12,REP,Glenn Hegar,82
2,DEM,Janet T. Dudding,65
2,LIB,V. Alonzo Echevarria-Garza,12
2,REP,Glenn Hegar,119
3,DEM,Janet T. Dudding,27
3,LIB,V. Alonzo Echevarria-Garza,4
3,REP,Glenn Hegar,254
4,DEM,Janet T. Dudding,1
4,LIB,V. Alonzo Echevarria-Garza,0
4,REP,Glenn Hegar,44
5,DEM,Janet T. Dudding,12
5,LIB,V. Alonzo Echevarria-Garza,5
5,REP,Glenn Hegar,158
6,DEM,Janet T. Dudding,19
6,LIB,V. Alonzo Echevarria-Garza,2
6,REP,Glenn Hegar,107
8,DEM,Janet T. Dudding,104
8,LIB,V. Alonzo Echevarria-Garza,18
8,REP,Glenn Hegar,748
9,DEM,Janet T. Dudding,82
9,LIB,V. Alonzo Echevarria-Garza,8
9,REP,Glenn Hegar,299
