precinct,party,candidate,votes
1,DEM,Luke Warford,28
1,GRN,Hunter Wayne Crow,3
1,LIB,Jaime Andres Diez,9
1,REP,Wayne Christian,285
10,DEM,Luke Warford,16
10,GRN,Hunter Wayne Crow,3
10,LIB,Jaime Andres Diez,5
10,REP,Wayne Christian,156
11,DEM,Luke Warford,30
11,GRN,Hunter Wayne Crow,4
11,LIB,Jaime Andres Diez,3
11,REP,Wayne Christian,313
12,DEM,Luke Warford,2
12,GRN,Hunter Wayne Crow,2
12,LIB,Jaime Andres Diez,0
12,REP,Wayne Christian,81
2,DEM,Luke Warford,64
2,GRN,Hunter Wayne Crow,3
2,LIB,Jaime Andres Diez,7
2,REP,Wayne Christian,121
3,DEM,Luke Warford,28
3,GRN,Hunter Wayne Crow,0
3,LIB,Jaime Andres Diez,3
3,REP,Wayne Christian,252
4,DEM,Luke Warford,1
4,GRN,Hunter Wayne Crow,0
4,LIB,Jaime Andres Diez,0
4,REP,Wayne Christian,44
5,DEM,Luke Warford,13
5,GRN,Hunter Wayne Crow,0
5,LIB,Jaime Andres Diez,5
5,REP,Wayne Christian,157
6,DEM,Luke Warford,20
6,GRN,Hunter Wayne Crow,1
6,LIB,Jaime Andres Diez,3
6,REP,Wayne Christian,104
8,DEM,Luke Warford,107
8,GRN,Hunter Wayne Crow,4
8,LIB,Jaime Andres Diez,19
8,REP,Wayne Christian,738
9,DEM,Luke Warford,87
9,GRN,Hunter Wayne Crow,3
9,LIB,Jaime Andres Diez,7
9,REP,Wayne Christian,295
